n,iteration,kernel_ms,correct
1024,0,0.060256000608205795,PASS
1024,1,0.026240000501275063,PASS
1024,2,0.022655999287962914,PASS
1024,3,0.020031999796628952,PASS
1024,4,0.020608000457286835,PASS
1024,5,0.019680000841617584,PASS
1024,6,0.018464000895619392,PASS
1024,7,0.020128000527620316,PASS
1024,8,0.019807999953627586,PASS
1024,9,0.018464000895619392,PASS
1024,10,0.019039999693632126,PASS
1024,11,0.018592000007629395,PASS
1024,12,0.018912000581622124,PASS
1024,13,0.01833599992096424,PASS
1024,14,0.018624000251293182,PASS
1024,15,0.01961600035429001,PASS
1024,16,0.01926399953663349,PASS
1024,17,0.02300800010561943,PASS
1024,18,0.020031999796628952,PASS
1024,19,0.018239999189972878,PASS
1024,20,0.015904000028967857,PASS
1024,21,0.017472000792622566,PASS
1024,22,0.01679999940097332,PASS
1024,23,0.017216000705957413,PASS
1024,24,0.018239999189972878,PASS
1024,25,0.017952000722289085,PASS
1024,26,0.01744000054895878,PASS
1024,27,0.018112000077962875,PASS
1024,28,0.018432000651955605,PASS
1024,29,0.016831999644637108,PASS
1024,30,0.018624000251293182,PASS
1024,31,0.01756799966096878,PASS
1024,32,0.015200000256299973,PASS
1024,33,0.016383999958634377,PASS
1024,34,0.01568000018596649,PASS
1024,35,0.015776000916957855,PASS
1024,36,0.01727999933063984,PASS
1024,37,0.01711999997496605,PASS
1024,38,0.016992000862956047,PASS
1024,39,0.016896000131964684,PASS
1024,40,0.01571200042963028,PASS
1024,41,0.01583999954164028,PASS
1024,42,0.016543999314308167,PASS
1024,43,0.017184000462293625,PASS
1024,44,0.016704000532627106,PASS
1024,45,0.015936000272631645,PASS
1024,46,0.01913600042462349,PASS
1024,47,0.016896000131964684,PASS
1024,48,0.016992000862956047,PASS
1024,49,0.015231999568641186,PASS
1024,50,0.01756799966096878,PASS
1024,51,0.017152000218629837,PASS
1024,52,0.01664000004529953,PASS
1024,53,0.016448000445961952,PASS
1024,54,0.01679999940097332,PASS
1024,55,0.016896000131964684,PASS
1024,56,0.016416000202298164,PASS
1024,57,0.015135999768972397,PASS
1024,58,0.014560000039637089,PASS
1024,59,0.017055999487638474,PASS
1024,60,0.01648000068962574,PASS
1024,61,0.017920000478625298,PASS
1024,62,0.01740800030529499,PASS
1024,63,0.018303999677300453,PASS
