n,iteration,kernel_ms,correct
1024,0,0.05455999821424484,PASS
1024,1,0.024032000452280045,PASS
1024,2,0.01913600042462349,PASS
1024,3,0.018912000581622124,PASS
1024,4,0.01974399946630001,PASS
1024,5,0.018848000094294548,PASS
1024,6,0.019967999309301376,PASS
1024,7,0.01696000061929226,PASS
1024,8,0.016863999888300896,PASS
1024,9,0.01679999940097332,PASS
1024,10,0.01648000068962574,PASS
1024,11,0.01664000004529953,PASS
1024,12,0.016704000532627106,PASS
1024,13,0.01600000075995922,PASS
1024,14,0.01724799908697605,PASS
1024,15,0.01692800037562847,PASS
1024,16,0.01788800023496151,PASS
1024,17,0.017696000635623932,PASS
1024,18,0.016736000776290894,PASS
1024,19,0.016543999314308167,PASS
1024,20,0.015456000342965126,PASS
1024,21,0.01740800030529499,PASS
1024,22,0.015744000673294067,PASS
1024,23,0.015424000099301338,PASS
1024,24,0.029952000826597214,PASS
1024,25,0.020191999152302742,PASS
1024,26,0.015776000916957855,PASS
1024,27,0.016992000862956047,PASS
1024,28,0.018559999763965607,PASS
1024,29,0.019328000023961067,PASS
1024,30,0.01711999997496605,PASS
1024,31,0.01692800037562847,PASS
1024,32,0.016543999314308167,PASS
1024,33,0.01711999997496605,PASS
1024,34,0.017376000061631203,PASS
1024,35,0.017311999574303627,PASS
1024,36,0.016416000202298164,PASS
1024,37,0.014944000169634819,PASS
1024,38,0.01484800036996603,PASS
1024,39,0.017184000462293625,PASS
1024,40,0.015296000055968761,PASS
1024,41,0.01744000054895878,PASS
1024,42,0.01708799973130226,PASS
1024,43,0.015647999942302704,PASS
1024,44,0.015744000673294067,PASS
1024,45,0.01532800029963255,PASS
1024,46,0.015744000673294067,PASS
1024,47,0.015200000256299973,PASS
1024,48,0.0161920003592968,PASS
1024,49,0.014592000283300877,PASS
1024,50,0.015135999768972397,PASS
1024,51,0.014655999839305878,PASS
1024,52,0.015424000099301338,PASS
1024,53,0.015135999768972397,PASS
1024,54,0.01833599992096424,PASS
1024,55,0.017152000218629837,PASS
1024,56,0.016383999958634377,PASS
1024,57,0.01500799972563982,PASS
1024,58,0.01539199985563755,PASS
1024,59,0.015456000342965126,PASS
1024,60,0.016575999557971954,PASS
1024,61,0.015647999942302704,PASS
1024,62,0.016416000202298164,PASS
1024,63,0.016383999958634377,PASS
1024,64,0.0161920003592968,PASS
1024,65,0.015263999812304974,PASS
1024,66,0.016224000602960587,PASS
1024,67,0.016736000776290894,PASS
1024,68,0.0161920003592968,PASS
1024,69,0.016095999628305435,PASS
1024,70,0.01532800029963255,PASS
1024,71,0.01414399966597557,PASS
1024,72,0.01484800036996603,PASS
1024,73,0.014688000082969666,PASS
1024,74,0.0144640002399683,PASS
1024,75,0.015296000055968761,PASS
1024,76,0.01548799965530634,PASS
1024,77,0.015552000142633915,PASS
1024,78,0.01600000075995922,PASS
1024,79,0.014527999795973301,PASS
1024,80,0.01583999954164028,PASS
1024,81,0.015263999812304974,PASS
1024,82,0.015552000142633915,PASS
1024,83,0.013472000136971474,PASS
1024,84,0.014944000169634819,PASS
1024,85,0.01849599927663803,PASS
1024,86,0.014976000413298607,PASS
1024,87,0.015039999969303608,PASS
1024,88,0.015615999698638916,PASS
1024,89,0.015584000386297703,PASS
1024,90,0.01587199978530407,PASS
1024,91,0.01484800036996603,PASS
1024,92,0.016543999314308167,PASS
1024,93,0.014560000039637089,PASS
1024,94,0.015168000012636185,PASS
1024,95,0.014879999682307243,PASS
1024,96,0.015359999611973763,PASS
1024,97,0.013439999893307686,PASS
1024,98,0.015263999812304974,PASS
1024,99,0.014495999552309513,PASS
2048,0,0.03251200169324875,PASS
2048,1,0.021088000386953354,PASS
2048,2,0.01836800016462803,PASS
2048,3,0.016543999314308167,PASS
2048,4,0.016127999871969223,PASS
2048,5,0.015359999611973763,PASS
2048,6,0.014944000169634819,PASS
2048,7,0.015231999568641186,PASS
2048,8,0.015904000028967857,PASS
2048,9,0.014720000326633453,PASS
2048,10,0.01603199914097786,PASS
2048,11,0.020416000857949257,PASS
2048,12,0.01571200042963028,PASS
2048,13,0.014688000082969666,PASS
2048,14,0.016287999227643013,PASS
2048,15,0.01568000018596649,PASS
2048,16,0.014271999709308147,PASS
2048,17,0.015104000456631184,PASS
2048,18,0.014399999752640724,PASS
2048,19,0.014560000039637089,PASS
2048,20,0.01568000018596649,PASS
2048,21,0.014592000283300877,PASS
2048,22,0.016287999227643013,PASS
2048,23,0.01759999990463257,PASS
2048,24,0.016224000602960587,PASS
2048,25,0.01500799972563982,PASS
2048,26,0.017952000722289085,PASS
2048,27,0.01571200042963028,PASS
2048,28,0.014495999552309513,PASS
2048,29,0.013952000066637993,PASS
2048,30,0.014911999925971031,PASS
2048,31,0.015456000342965126,PASS
2048,32,0.01484800036996603,PASS
2048,33,0.014783999882638454,PASS
2048,34,0.015135999768972397,PASS
2048,35,0.013887999579310417,PASS
2048,36,0.0144640002399683,PASS
2048,37,0.015424000099301338,PASS
2048,38,0.014175999909639359,PASS
2048,39,0.013952000066637993,PASS
2048,40,0.013535999692976475,PASS
2048,41,0.015168000012636185,PASS
2048,42,0.015296000055968761,PASS
2048,43,0.01484800036996603,PASS
2048,44,0.01539199985563755,PASS
2048,45,0.014560000039637089,PASS
2048,46,0.013663999736309052,PASS
2048,47,0.015039999969303608,PASS
2048,48,0.01462399959564209,PASS
2048,49,0.014751999638974667,PASS
2048,50,0.01484800036996603,PASS
2048,51,0.014688000082969666,PASS
2048,52,0.014816000126302242,PASS
2048,53,0.0144640002399683,PASS
2048,54,0.014816000126302242,PASS
2048,55,0.014399999752640724,PASS
2048,56,0.01958400011062622,PASS
2048,57,0.035551998764276505,PASS
2048,58,0.020896000787615776,PASS
2048,59,0.016383999958634377,PASS
2048,60,0.0161920003592968,PASS
2048,61,0.015072000212967396,PASS
2048,62,0.015263999812304974,PASS
2048,63,0.0144640002399683,PASS
2048,64,0.015584000386297703,PASS
2048,65,0.014751999638974667,PASS
2048,66,0.015519999898970127,PASS
2048,67,0.01539199985563755,PASS
2048,68,0.014751999638974667,PASS
2048,69,0.014303999952971935,PASS
2048,70,0.01548799965530634,PASS
2048,71,0.015359999611973763,PASS
2048,72,0.015168000012636185,PASS
2048,73,0.014527999795973301,PASS
2048,74,0.013919999822974205,PASS
2048,75,0.014112000353634357,PASS
2048,76,0.014720000326633453,PASS
2048,77,0.014175999909639359,PASS
2048,78,0.0144640002399683,PASS
2048,79,0.014208000153303146,PASS
2048,80,0.015456000342965126,PASS
2048,81,0.016416000202298164,PASS
2048,82,0.015359999611973763,PASS
2048,83,0.014527999795973301,PASS
2048,84,0.014527999795973301,PASS
2048,85,0.015615999698638916,PASS
2048,86,0.01462399959564209,PASS
2048,87,0.01484800036996603,PASS
2048,88,0.01532800029963255,PASS
2048,89,0.01836800016462803,PASS
2048,90,0.01651199907064438,PASS
2048,91,0.016287999227643013,PASS
2048,92,0.016127999871969223,PASS
2048,93,0.015936000272631645,PASS
2048,94,0.014303999952971935,PASS
2048,95,0.014879999682307243,PASS
2048,96,0.014879999682307243,PASS
2048,97,0.015456000342965126,PASS
2048,98,0.015104000456631184,PASS
2048,99,0.014303999952971935,PASS
4096,0,0.020959999412298203,PASS
4096,1,0.016863999888300896,PASS
4096,2,0.017023999243974686,PASS
4096,3,0.020735999569296837,PASS
4096,4,0.017216000705957413,PASS
4096,5,0.016256000846624374,PASS
4096,6,0.015647999942302704,PASS
4096,7,0.014911999925971031,PASS
4096,8,0.015904000028967857,PASS
4096,9,0.01603199914097786,PASS
4096,10,0.01583999954164028,PASS
4096,11,0.014303999952971935,PASS
4096,12,0.015359999611973763,PASS
4096,13,0.0161920003592968,PASS
4096,14,0.016224000602960587,PASS
4096,15,0.016127999871969223,PASS
4096,16,0.015968000516295433,PASS
4096,17,0.015904000028967857,PASS
4096,18,0.015807999297976494,PASS
4096,19,0.015359999611973763,PASS
4096,20,0.015263999812304974,PASS
4096,21,0.014976000413298607,PASS
4096,22,0.015647999942302704,PASS
4096,23,0.014495999552309513,PASS
4096,24,0.01539199985563755,PASS
