n,block_size,iteration,kernel_ms,total_ms,correct
1024,256,32,0.004128,0.026464,PASS
1024,256,33,0.003968,0.025536,PASS
1024,256,34,0.005664,0.026017,PASS
1024,256,35,0.004352,0.023296,PASS
1024,256,36,0.004288,0.023808,PASS
1024,256,37,0.004288,0.024608,PASS
1024,256,38,0.004288,0.023392,PASS
1024,256,39,0.005664,0.023264,PASS
1024,256,40,0.006112,0.023585,PASS
1024,256,41,0.003968,0.02448,PASS
1024,256,42,0.005632,0.02448,PASS
1024,256,43,0.0056,0.024608,PASS
1024,256,44,0.006048,0.024288,PASS
1024,256,45,0.005568,0.024641,PASS
1024,256,46,0.005664,0.026688,PASS
1024,256,47,0.006048,0.027712,PASS
1024,256,48,0.005632,0.026368,PASS
1024,256,49,0.006016,0.024384,PASS
1024,256,50,0.005792,0.025153,PASS
1024,256,51,0.004256,0.022688,PASS
1024,256,52,0.005056,0.032512,PASS
1024,256,53,0.005568,0.023584,PASS
1024,256,54,0.004832,0.02352,PASS
1024,256,55,0.004992,0.024385,PASS
1024,256,56,0.004736,0.02368,PASS
1024,256,57,0.005536,0.024192,PASS
1024,256,58,0.004288,0.023456,PASS
1024,256,59,0.005792,0.023488,PASS
1024,256,60,0.00576,0.023521,PASS
1024,256,61,0.004096,0.0224,PASS
1024,256,62,0.004288,0.023648,PASS
1024,256,63,0.006208,0.023584,PASS
1024,256,64,0.005568,0.024576,PASS
1024,256,65,0.005984,0.024801,PASS
1024,256,66,0.005056,0.024032,PASS
1024,256,67,0.004672,0.0224,PASS
1024,256,68,0.004736,0.02192,PASS
1024,256,69,0.006016,0.02176,PASS
1024,256,70,0.005568,0.022304,PASS
1024,256,71,0.00432,0.021377,PASS
1024,256,72,0.005632,0.022336,PASS
1024,256,73,0.005856,0.023488,PASS
1024,256,74,0.004768,0.02352,PASS
1024,256,75,0.005824,0.02288,PASS
1024,256,76,0.005632,0.023104,PASS
1024,256,77,0.004384,0.023585,PASS
1024,256,78,0.004224,0.022496,PASS
1024,256,79,0.005952,0.023488,PASS
1024,256,80,0.005536,0.0232,PASS
1024,256,81,0.005696,0.022912,PASS
1024,256,82,0.003968,0.023489,PASS
1024,256,83,0.006048,0.023488,PASS
1024,256,84,0.004224,0.023392,PASS
1024,256,85,0.005504,0.02368,PASS
1024,256,86,0.004512,0.022368,PASS
1024,256,87,0.005696,0.023424,PASS
1024,256,88,0.005984,0.022753,PASS
1024,256,89,0.00432,0.023488,PASS
1024,256,90,0.0048,0.023296,PASS
1024,256,91,0.005696,0.02272,PASS
1024,256,92,0.005952,0.023264,PASS
1024,256,93,0.006592,0.022977,PASS
1024,256,94,0.004224,0.028832,PASS
1024,256,95,0.006208,0.02416,PASS
1024,256,96,0.005824,0.023328,PASS
1024,256,97,0.005504,0.02368,PASS
1024,256,98,0.005792,0.023521,PASS
1024,256,99,0.004448,0.022496,PASS
1024,512,0,0.006944,0.043809,PASS
1024,512,1,0.004288,0.025216,PASS
1024,512,2,0.005728,0.024256,PASS
1024,512,3,0.004256,0.02464,PASS
1024,512,4,0.005728,0.024288,PASS
1024,512,5,0.005664,0.024577,PASS
1024,512,6,0.00608,0.023232,PASS
1024,512,7,0.004448,0.023008,PASS
1024,512,8,0.004448,0.023552,PASS
1024,512,9,0.005792,0.024288,PASS
1024,512,10,0.0048,0.023649,PASS
1024,512,11,0.004288,0.023392,PASS
1024,512,12,0.005888,0.02336,PASS
1024,512,13,0.004704,0.023776,PASS
1024,512,14,0.00448,0.023648,PASS
1024,512,15,0.005664,0.026368,PASS
1024,512,16,0.004224,0.025633,PASS
1024,512,17,0.004928,0.043104,PASS
1024,512,18,0.004352,0.024128,PASS
1024,512,19,0.00448,0.023808,PASS
1024,512,20,0.005568,0.025953,PASS
1024,512,21,0.004608,0.02432,PASS
1024,512,22,0.004288,0.02432,PASS
1024,512,23,0.004256,0.023712,PASS
1024,512,24,0.004704,0.023744,PASS
1024,512,25,0.004384,0.024513,PASS
1024,512,26,0.006272,0.024896,PASS
1024,512,27,0.004512,0.024,PASS
1024,512,28,0.004608,0.023488,PASS
1024,512,29,0.004288,0.024672,PASS
1024,512,30,0.00464,0.023456,PASS
1024,512,31,0.005952,0.025505,PASS
1024,512,32,0.004384,0.024704,PASS
1024,512,33,0.006144,0.024576,PASS
1024,512,34,0.005632,0.024608,PASS
1024,512,35,0.004512,0.025376,PASS
1024,512,36,0.00608,0.024769,PASS
1024,512,37,0.004864,0.024672,PASS
1024,512,38,0.006208,0.025504,PASS
1024,512,39,0.005696,0.025344,PASS
1024,512,40,0.00448,0.025536,PASS
1024,512,41,0.005728,0.026785,PASS
1024,512,42,0.006176,0.026464,PASS
1024,512,43,0.004288,0.025536,PASS
1024,512,44,0.006016,0.024512,PASS
1024,512,45,0.00624,0.024096,PASS
1024,512,46,0.006048,0.025025,PASS
1024,512,47,0.007104,0.024576,PASS
1024,512,48,0.005888,0.024672,PASS
1024,512,49,0.00432,0.026336,PASS
1024,512,50,0.004416,0.027552,PASS
1024,512,51,0.004896,0.025633,PASS
1024,512,52,0.00576,0.02464,PASS
1024,512,53,0.004512,0.023968,PASS
1024,512,54,0.004288,0.023808,PASS
1024,512,55,0.004224,0.024672,PASS
1024,512,56,0.005824,0.028033,PASS
1024,512,57,0.005888,0.024288,PASS
1024,512,58,0.007392,0.02432,PASS
1024,512,59,0.004384,0.024672,PASS
