n,block_size,iteration,kernel_ms,total_ms,correct
1024,256,32,0.003904,0.024864,PASS
1024,256,33,0.005536,0.025696,PASS
1024,256,34,0.004416,0.024417,PASS
1024,256,35,0.004352,0.025568,PASS
1024,256,36,0.00448,0.02464,PASS
1024,256,37,0.006112,0.025536,PASS
1024,256,38,0.004704,0.02544,PASS
1024,256,39,0.005664,0.025601,PASS
1024,256,40,0.004288,0.0256,PASS
1024,256,41,0.004096,0.025696,PASS
1024,256,42,0.004288,0.024352,PASS
1024,256,43,0.0048,0.024224,PASS
1024,256,44,0.005984,0.024929,PASS
1024,256,45,0.004864,0.024448,PASS
1024,256,46,0.00688,0.025472,PASS
1024,256,47,0.005024,0.02576,PASS
1024,256,48,0.004288,0.02672,PASS
1024,256,49,0.004864,0.025441,PASS
1024,256,50,0.004192,0.02752,PASS
1024,256,51,0.00448,0.024608,PASS
1024,256,52,0.00432,0.025536,PASS
1024,256,53,0.005952,0.025632,PASS
1024,256,54,0.006496,0.026433,PASS
1024,256,55,0.004448,0.024864,PASS
1024,256,56,0.00432,0.02784,PASS
1024,256,57,0.004224,0.024928,PASS
1024,256,58,0.004032,0.025665,PASS
1024,256,59,0.004352,0.025696,PASS
1024,256,60,0.005504,0.025376,PASS
1024,256,61,0.005984,0.024832,PASS
1024,256,62,0.005952,0.025472,PASS
1024,256,63,0.004352,0.025345,PASS
1024,256,64,0.003904,0.024736,PASS
1024,256,65,0.004128,0.024448,PASS
1024,256,66,0.005536,0.025472,PASS
1024,256,67,0.005536,0.024576,PASS
1024,256,68,0.00608,0.027745,PASS
1024,256,69,0.006208,0.024,PASS
1024,256,70,0.004224,0.02528,PASS
1024,256,71,0.005568,0.025536,PASS
1024,256,72,0.004896,0.026336,PASS
1024,256,73,0.005696,0.025633,PASS
1024,256,74,0.004448,0.026528,PASS
1024,256,75,0.005536,0.024768,PASS
1024,256,76,0.004704,0.024512,PASS
1024,256,77,0.004384,0.02576,PASS
1024,256,78,0.00464,0.024128,PASS
1024,256,79,0.004448,0.025601,PASS
1024,256,80,0.004736,0.0248,PASS
1024,256,81,0.004384,0.026656,PASS
1024,256,82,0.005504,0.026144,PASS
1024,256,83,0.004224,0.025793,PASS
1024,256,84,0.005632,0.025632,PASS
1024,256,85,0.004224,0.024608,PASS
1024,256,86,0.006176,0.024544,PASS
1024,256,87,0.006176,0.024448,PASS
1024,256,88,0.004288,0.025696,PASS
1024,256,89,0.00416,0.023713,PASS
1024,256,90,0.004352,0.024288,PASS
1024,256,91,0.004352,0.024192,PASS
1024,256,92,0.00464,0.023904,PASS
1024,256,93,0.004384,0.023488,PASS
1024,256,94,0.00432,0.023361,PASS
1024,256,95,0.004416,0.025632,PASS
1024,256,96,0.003776,0.046016,PASS
1024,256,97,0.004416,0.026464,PASS
1024,256,98,0.0056,0.025121,PASS
1024,256,99,0.005696,0.02352,PASS
1024,512,0,0.004352,0.039008,PASS
1024,512,1,0.005568,0.022369,PASS
1024,512,2,0.005568,0.025568,PASS
1024,512,3,0.004288,0.022464,PASS
1024,512,4,0.005536,0.022368,PASS
1024,512,5,0.004256,0.021536,PASS
1024,512,6,0.004928,0.021536,PASS
1024,512,7,0.005568,0.021921,PASS
1024,512,8,0.004064,0.022368,PASS
1024,512,9,0.005824,0.023264,PASS
1024,512,10,0.006016,0.022464,PASS
1024,512,11,0.004416,0.023552,PASS
1024,512,12,0.00576,0.022368,PASS
1024,512,13,0.004512,0.022657,PASS
1024,512,14,0.006752,0.022944,PASS
1024,512,15,0.006016,0.021792,PASS
1024,512,16,0.004192,0.021568,PASS
1024,512,17,0.00592,0.02176,PASS
1024,512,18,0.004288,0.021089,PASS
1024,512,19,0.005824,0.021696,PASS
1024,512,20,0.006112,0.023456,PASS
1024,512,21,0.006112,0.024256,PASS
1024,512,22,0.004896,0.02192,PASS
1024,512,23,0.006176,0.022304,PASS
1024,512,24,0.004384,0.022561,PASS
1024,512,25,0.0056,0.0224,PASS
1024,512,26,0.00432,0.022624,PASS
1024,512,27,0.004256,0.022368,PASS
1024,512,28,0.005632,0.021856,PASS
1024,512,29,0.004768,0.025152,PASS
1024,512,30,0.005888,0.022721,PASS
1024,512,31,0.005952,0.02144,PASS
1024,512,32,0.004384,0.022304,PASS
1024,512,33,0.00592,0.021568,PASS
1024,512,34,0.004544,0.021568,PASS
1024,512,35,0.004704,0.022496,PASS
1024,512,36,0.005664,0.022433,PASS
1024,512,37,0.00656,0.02352,PASS
1024,512,38,0.004736,0.021472,PASS
1024,512,39,0.004224,0.021376,PASS
1024,512,40,0.005728,0.02272,PASS
1024,512,41,0.004416,0.022497,PASS
1024,512,42,0.005632,0.023232,PASS
1024,512,43,0.004448,0.023488,PASS
1024,512,44,0.006496,0.023424,PASS
1024,512,45,0.005504,0.022432,PASS
1024,512,46,0.005696,0.023456,PASS
1024,512,47,0.004704,0.029921,PASS
1024,512,48,0.005728,0.023296,PASS
1024,512,49,0.00592,0.023712,PASS
1024,512,50,0.004704,0.026624,PASS
1024,512,51,0.004128,0.023424,PASS
1024,512,52,0.004448,0.022337,PASS
1024,512,53,0.006304,0.021792,PASS
1024,512,54,0.005568,0.022496,PASS
1024,512,55,0.005728,0.0216,PASS
1024,512,56,0.004256,0.021568,PASS
1024,512,57,0.004544,0.022464,PASS
1024,512,58,0.00448,0.022337,PASS
1024,512,59,0.0056,0.023648,PASS
1024,512,60,0.004352,0.023392,PASS
1024,512,61,0.004352,0.022496,PASS
1024,512,62,0.004768,0.022528,PASS
1024,512,63,0.004736,0.021409,PASS
1024,512,64,0.00448,0.021664,PASS
1024,512,65,0.006048,0.02256,PASS
1024,512,66,0.005632,0.022432,PASS
1024,512,67,0.004544,0.022304,PASS
1024,512,68,0.006304,0.021376,PASS
1024,512,69,0.004736,0.020481,PASS
1024,512,70,0.004544,0.02048,PASS
1024,512,71,0.00576,0.020672,PASS
