source_file,group_type,n,block_size,rows,bad_rows_file_level,ratio_mean,ratio_median,ratio_p95,ratio_min,ratio_max
cuda_timings.csv,by_size,2097152,,300,0,18.969087,19.326332,23.725870,12.331264,78.658512
cuda_timings.csv,by_size,262144,,300,0,9.175981,8.605562,11.178571,7.165138,67.597637
cuda_timings.csv,by_size,32768,,300,0,6.752803,6.028490,8.175811,3.089595,46.613335
cuda_timings.csv,by_size,4096,,300,0,4.970119,4.561723,6.435484,3.869792,14.340806
cuda_timings.csv,by_size,4194304,,300,0,22.762778,23.878992,28.383002,14.304557,109.033098
cuda_timings.csv,by_size,524288,,300,0,11.341829,11.074930,12.578947,3.413128,73.926440
cuda_timings.csv,by_size,65536,,300,0,9.415950,6.125104,8.130435,3.013477,438.997984
cuda_timings.csv,by_size,8192,,300,0,5.451429,5.111741,6.832061,1.687500,8.425987
cuda_timings.csv,by_size,8388608,,300,0,21.527386,20.988437,26.118627,14.251806,82.599993
cuda_timings_saxpy.csv,by_block_size,,128,1500,0,9.475854,7.527923,16.753250,1.627409,59.300832
cuda_timings_saxpy.csv,by_block_size,,256,1500,0,11.715463,7.524828,24.304622,3.225025,146.886610
cuda_timings_saxpy.csv,by_block_size,,512,1500,0,12.137358,7.706401,27.483007,3.200000,110.638552
cuda_timings_saxpy.csv,by_n_block,1024,128,100,0,5.036907,5.314236,6.457627,3.617925,8.392830
cuda_timings_saxpy.csv,by_n_block,1024,256,100,0,5.327674,5.478416,6.512605,3.225025,12.186441
cuda_timings_saxpy.csv,by_n_block,1024,512,100,0,4.535975,4.513762,5.674419,3.365535,8.963235
cuda_timings_saxpy.csv,by_n_block,1048576,128,100,0,12.585992,12.099647,13.992571,6.710626,53.496215
cuda_timings_saxpy.csv,by_n_block,1048576,256,100,0,15.271143,13.744256,17.373290,7.081863,146.886610
cuda_timings_saxpy.csv,by_n_block,1048576,512,100,0,16.953142,15.834104,19.183953,13.790449,77.740186
cuda_timings_saxpy.csv,by_n_block,131072,128,100,0,7.039554,6.449258,7.243523,5.395597,59.300832
cuda_timings_saxpy.csv,by_n_block,131072,256,100,0,7.420804,6.606103,9.014085,5.263374,57.155903
cuda_timings_saxpy.csv,by_n_block,131072,512,100,0,7.379299,6.818589,8.797101,5.699677,44.033308
cuda_timings_saxpy.csv,by_n_block,16384,128,100,0,6.967316,6.717403,9.030534,4.423963,9.526316
cuda_timings_saxpy.csv,by_n_block,16384,256,100,0,7.112338,6.819209,9.079937,5.270718,9.398551
cuda_timings_saxpy.csv,by_n_block,16384,512,100,0,7.153394,6.928683,8.946970,4.012146,9.219934
cuda_timings_saxpy.csv,by_n_block,16777216,128,100,0,17.080287,16.745249,17.140625,15.903089,52.165311
cuda_timings_saxpy.csv,by_n_block,16777216,256,100,0,22.597678,22.085582,22.879571,21.342525,68.142262
cuda_timings_saxpy.csv,by_n_block,16777216,512,100,0,22.128372,21.685970,22.104696,20.625970,70.318223
cuda_timings_saxpy.csv,by_n_block,2048,128,100,0,4.348547,4.077995,5.548872,3.434146,7.118519
cuda_timings_saxpy.csv,by_n_block,2048,256,100,0,5.116343,5.253779,6.046154,3.567458,9.558824
cuda_timings_saxpy.csv,by_n_block,2048,512,100,0,4.973808,5.146128,6.037879,3.370192,9.137500
cuda_timings_saxpy.csv,by_n_block,2097152,128,100,0,14.056787,13.764723,14.219699,12.869132,48.721418
cuda_timings_saxpy.csv,by_n_block,2097152,256,100,0,19.899091,19.127334,21.996528,18.036458,84.803097
cuda_timings_saxpy.csv,by_n_block,2097152,512,100,0,24.148619,23.780350,25.062760,11.468342,74.067210
cuda_timings_saxpy.csv,by_n_block,262144,128,100,0,8.579796,8.131262,9.381684,6.912863,48.511132
cuda_timings_saxpy.csv,by_n_block,262144,256,100,0,8.405238,7.835423,9.267442,3.358436,55.278967
cuda_timings_saxpy.csv,by_n_block,262144,512,100,0,8.789135,8.081632,10.718331,7.211268,53.165389
cuda_timings_saxpy.csv,by_n_block,32768,128,100,0,6.502141,5.682857,7.594203,4.648034,49.595918
cuda_timings_saxpy.csv,by_n_block,32768,256,100,0,6.503128,5.837143,7.691176,4.881517,37.713942
cuda_timings_saxpy.csv,by_n_block,32768,512,100,0,6.481922,5.636949,7.706767,4.124481,53.811021
cuda_timings_saxpy.csv,by_n_block,4096,128,100,0,4.685396,4.260958,6.054264,1.627409,7.755787
cuda_timings_saxpy.csv,by_n_block,4096,256,100,0,4.567955,4.309509,5.873134,3.637255,6.037879
cuda_timings_saxpy.csv,by_n_block,4096,512,100,0,4.984572,4.767013,6.576271,3.200000,6.872062
cuda_timings_saxpy.csv,by_n_block,4194304,128,100,0,16.084419,15.681106,16.072077,14.865822,55.944086
cuda_timings_saxpy.csv,by_n_block,4194304,256,100,0,25.099924,24.465650,25.324912,23.349481,80.394730
cuda_timings_saxpy.csv,by_n_block,4194304,512,100,0,28.410177,27.854434,28.821686,26.127790,90.216810
cuda_timings_saxpy.csv,by_n_block,524288,128,100,0,10.313206,9.501915,11.554650,7.486395,53.467130
cuda_timings_saxpy.csv,by_n_block,524288,256,100,0,12.801232,12.300641,13.221112,10.318324,64.867671
cuda_timings_saxpy.csv,by_n_block,524288,512,100,0,12.156486,11.407314,12.982955,8.804125,69.337033
cuda_timings_saxpy.csv,by_n_block,65536,128,100,0,6.777404,6.008149,8.093750,2.769802,53.109863
cuda_timings_saxpy.csv,by_n_block,65536,256,100,0,6.618063,5.854023,7.927763,5.053659,55.765887
cuda_timings_saxpy.csv,by_n_block,65536,512,100,0,7.201470,5.805583,7.961492,4.877866,110.638552
cuda_timings_saxpy.csv,by_n_block,8192,128,100,0,5.319523,4.811667,6.721805,3.605809,8.952381
cuda_timings_saxpy.csv,by_n_block,8192,256,100,0,5.380965,5.579058,6.477612,4.068293,6.896050
cuda_timings_saxpy.csv,by_n_block,8192,512,100,0,5.479513,5.746438,6.587786,3.785366,7.767152
cuda_timings_saxpy.csv,by_n_block,8388608,128,100,0,16.760537,16.288326,17.078752,15.800281,55.403578
cuda_timings_saxpy.csv,by_n_block,8388608,256,100,0,23.610364,22.993913,24.478188,22.291144,73.034133
cuda_timings_saxpy.csv,by_n_block,8388608,512,100,0,21.284479,20.642703,21.860174,19.726683,68.224152
cuda_timings_saxpy.csv,by_size,1024,,300,0,4.966852,4.906780,6.365327,3.225025,12.186441
cuda_timings_saxpy.csv,by_size,1048576,,300,0,14.936759,13.876579,18.929730,6.710626,146.886610
cuda_timings_saxpy.csv,by_size,131072,,300,0,7.279886,6.589379,8.791367,5.263374,59.300832
cuda_timings_saxpy.csv,by_size,16384,,300,0,7.077683,6.809019,9.022222,4.012146,9.526316
cuda_timings_saxpy.csv,by_size,16777216,,300,0,20.602112,21.633327,22.578284,15.903089,70.318223
cuda_timings_saxpy.csv,by_size,2048,,300,0,4.812899,4.878408,6.000147,3.370192,9.558824
cuda_timings_saxpy.csv,by_size,2097152,,300,0,19.368166,19.127334,24.661352,11.468342,84.803097
cuda_timings_saxpy.csv,by_size,262144,,300,0,8.591389,8.017653,9.526721,3.358436,55.278967
cuda_timings_saxpy.csv,by_size,32768,,300,0,6.495730,5.747881,7.691176,4.124481,53.811021
cuda_timings_saxpy.csv,by_size,4096,,300,0,4.745974,4.330601,6.364341,1.627409,7.755787
cuda_timings_saxpy.csv,by_size,4194304,,300,0,23.198173,24.471033,28.448902,14.865822,90.216810
cuda_timings_saxpy.csv,by_size,524288,,300,0,11.756975,11.398556,12.982955,7.486395,69.337033
cuda_timings_saxpy.csv,by_size,65536,,300,0,6.865646,5.864534,8.029851,2.769802,110.638552
