n,iteration,kernel_ms,correct
1024,0,0.09542399644851685,PASS
1024,1,0.039903998374938965,PASS
1024,2,0.03094400092959404,PASS
1024,3,0.031136000528931618,PASS
1024,4,0.03244800120592117,PASS
1024,5,0.02969600073993206,PASS
1024,6,0.02518399991095066,PASS
1024,7,0.027103999629616737,PASS
1024,8,0.02595200017094612,PASS
1024,9,0.02627200074493885,PASS
1024,10,0.025919999927282333,PASS
1024,11,0.025439999997615814,PASS
1024,12,0.024288000538945198,PASS
1024,13,0.02316799946129322,PASS
1024,14,0.025696000084280968,PASS
1024,15,0.02537599951028824,PASS
1024,16,0.025472000241279602,PASS
1024,17,0.024351999163627625,PASS
1024,18,0.023455999791622162,PASS
1024,19,0.02598400041460991,PASS
1024,20,0.03302399814128876,PASS
1024,21,0.02675200067460537,PASS
1024,22,0.02630399912595749,PASS
1024,23,0.02537599951028824,PASS
1024,24,0.02502400055527687,PASS
1024,25,0.025087999179959297,PASS
1024,26,0.0261439997702837,PASS
1024,27,0.02566399984061718,PASS
1024,28,0.025536000728607178,PASS
1024,29,0.02630399912595749,PASS
1024,30,0.027744000777602196,PASS
1024,31,0.024927999824285507,PASS
1024,32,0.02409599907696247,PASS
1024,33,0.024992000311613083,PASS
1024,34,0.02537599951028824,PASS
1024,35,0.027744000777602196,PASS
1024,36,0.028831999748945236,PASS
1024,37,0.025728000327944756,PASS
1024,38,0.025855999439954758,PASS
1024,39,0.02611199952661991,PASS
1024,40,0.02630399912595749,PASS
1024,41,0.027168000116944313,PASS
1024,42,0.02687999978661537,PASS
1024,43,0.03267199918627739,PASS
1024,44,0.03046399913728237,PASS
1024,45,0.02755199931561947,PASS
1024,46,0.024351999163627625,PASS
1024,47,0.02630399912595749,PASS
1024,48,0.024831999093294144,PASS
1024,49,0.025696000084280968,PASS
1024,50,0.023391999304294586,PASS
1024,51,0.023903999477624893,PASS
1024,52,0.02319999970495701,PASS
1024,53,0.025280000641942024,PASS
1024,54,0.02396799996495247,PASS
1024,55,0.026528000831604004,PASS
1024,56,0.02672000043094158,PASS
1024,57,0.025312000885605812,PASS
1024,58,0.027583999559283257,PASS
1024,59,0.029472000896930695,PASS
1024,60,0.026688000187277794,PASS
1024,61,0.02595200017094612,PASS
1024,62,0.024960000067949295,PASS
1024,63,0.02393599972128868,PASS
1024,64,0.025151999667286873,PASS
1024,65,0.024927999824285507,PASS
1024,66,0.03209599852561951,PASS
1024,67,0.024800000712275505,PASS
1024,68,0.023135999217629433,PASS
1024,69,0.022943999618291855,PASS
1024,70,0.023231999948620796,PASS
1024,71,0.022463999688625336,PASS
1024,72,0.023391999304294586,PASS
1024,73,0.024224000051617622,PASS
1024,74,0.023903999477624893,PASS
1024,75,0.02627200074493885,PASS
1024,76,0.022592000663280487,PASS
1024,77,0.024159999564290047,PASS
1024,78,0.02287999913096428,PASS
1024,79,0.024480000138282776,PASS
1024,80,0.026815999299287796,PASS
1024,81,0.023903999477624893,PASS
1024,82,0.025439999997615814,PASS
1024,83,0.02687999978661537,PASS
1024,84,0.027744000777602196,PASS
1024,85,0.02457600086927414,PASS
1024,86,0.02534399926662445,PASS
1024,87,0.025855999439954758,PASS
1024,88,0.025536000728607178,PASS
1024,89,0.02470399998128414,PASS
