matmul_variant,M,N,K,iterations,avg_kernel_ms,min_kernel_ms,gflops,correct
naive_b16,256,256,256,10,0.041347,0.040608,811.529,PASS
naive_b16,256,256,256,50,0.041080,0.039872,816.813,PASS
naive_b16,256,256,256,100,0.040792,0.039744,822.567,PASS
tiled_t8,256,256,256,10,0.020125,0.019392,1667.317,PASS
tiled_t8,256,256,256,50,0.020021,0.018656,1675.951,PASS
tiled_t8,256,256,256,100,0.020041,0.018784,1674.266,PASS
tiled_t16,256,256,256,10,0.032672,0.032192,1027.009,PASS
tiled_t16,256,256,256,50,0.032883,0.032320,1020.412,PASS
tiled_t16,256,256,256,100,0.032886,0.032096,1020.313,PASS
tiled_t32,256,256,256,10,0.156752,0.155328,214.061,PASS
tiled_t32,256,256,256,50,0.155569,0.154976,215.688,PASS
tiled_t32,256,256,256,100,0.155669,0.155008,215.550,PASS
naive_b16,512,512,512,10,0.247354,0.245824,1085.230,PASS
naive_b16,512,512,512,50,0.247182,0.245440,1085.983,PASS
naive_b16,512,512,512,100,0.246911,0.245440,1087.175,PASS
tiled_t8,512,512,512,10,0.093581,0.092224,2868.489,PASS
tiled_t8,512,512,512,50,0.093515,0.092256,2870.510,PASS
tiled_t8,512,512,512,100,0.093648,0.092256,2866.430,PASS
tiled_t16,512,512,512,10,0.181101,0.180032,1482.243,PASS
tiled_t16,512,512,512,50,0.181333,0.180128,1480.344,PASS
tiled_t16,512,512,512,100,0.181421,0.180096,1479.624,PASS
tiled_t32,512,512,512,10,0.603392,0.601760,444.877,PASS
tiled_t32,512,512,512,50,0.602328,0.600768,445.663,PASS
tiled_t32,512,512,512,100,0.602743,0.600704,445.357,PASS
naive_b16,768,768,768,10,0.836326,0.835232,1083.273,PASS
naive_b16,768,768,768,50,0.836212,0.834912,1083.422,PASS
naive_b16,768,768,768,100,0.836184,0.834912,1083.458,PASS
tiled_t8,768,768,768,10,0.289357,0.288448,3130.978,PASS
tiled_t8,768,768,768,50,0.289625,0.288384,3128.078,PASS
tiled_t8,768,768,768,100,0.289235,0.288160,3132.300,PASS
tiled_t16,768,768,768,10,0.596262,0.595456,1519.414,PASS
tiled_t16,768,768,768,50,0.596113,0.595296,1519.795,PASS
tiled_t16,768,768,768,100,0.596086,0.595232,1519.864,PASS
tiled_t32,768,768,768,10,1.792336,1.790080,505.469,PASS
tiled_t32,768,768,768,50,1.792293,1.789600,505.481,PASS
tiled_t32,768,768,768,100,1.792436,1.789312,505.440,PASS
naive_b16,384,1024,160,10,0.125850,0.124832,999.837,PASS
naive_b16,384,1024,160,50,0.125916,0.124736,999.309,PASS
naive_b16,384,1024,160,100,0.125709,0.124544,1000.957,PASS
tiled_t8,384,1024,160,10,0.047037,0.046464,2675.121,PASS
tiled_t8,384,1024,160,50,0.047123,0.046496,2670.216,PASS
tiled_t8,384,1024,160,100,0.047149,0.045952,2668.729,PASS
tiled_t16,384,1024,160,10,0.091565,0.090144,1374.208,PASS
tiled_t16,384,1024,160,50,0.091616,0.090336,1373.440,PASS
tiled_t16,384,1024,160,100,0.091494,0.090368,1375.266,PASS
tiled_t32,384,1024,160,10,0.287155,0.286656,438.192,PASS
tiled_t32,384,1024,160,50,0.286520,0.285152,439.164,PASS
tiled_t32,384,1024,160,100,0.286579,0.284992,439.073,PASS
naive_b16,511,257,769,10,0.109376,0.108224,1846.666,PASS
naive_b16,511,257,769,50,0.108998,0.108096,1853.074,PASS
naive_b16,511,257,769,100,0.108797,0.108032,1856.486,PASS
tiled_t8,511,257,769,10,0.073667,0.073280,2741.803,PASS
tiled_t8,511,257,769,50,0.073870,0.072384,2734.273,PASS
tiled_t8,511,257,769,100,0.073745,0.072480,2738.922,PASS
tiled_t16,511,257,769,10,0.151818,0.150880,1330.418,PASS
tiled_t16,511,257,769,50,0.151749,0.150912,1331.019,PASS
tiled_t16,511,257,769,100,0.151694,0.150336,1331.505,PASS
tiled_t32,511,257,769,10,0.456880,0.456032,442.087,PASS
tiled_t32,511,257,769,50,0.456999,0.455264,441.972,PASS
tiled_t32,511,257,769,100,0.457110,0.455040,441.865,PASS
