matmul_variant,M,N,K,iterations,avg_kernel_ms,min_kernel_ms,gflops,correct
torch,256,256,256,10,0.045843,0.038368,731.939,PASS
torch,256,256,256,50,0.040143,0.035520,835.865,PASS
torch,256,256,256,100,0.040439,0.034528,829.760,PASS
torch,512,512,512,10,0.043453,0.037824,6177.633,PASS
torch,512,512,512,50,0.040804,0.035776,6578.681,PASS
torch,512,512,512,100,0.040133,0.034912,6688.573,PASS
torch,768,768,768,10,0.049552,0.045728,18283.211,PASS
torch,768,768,768,50,0.046790,0.043424,19362.298,PASS
torch,768,768,768,100,0.046667,0.043136,19413.680,PASS
