copy_pattern,size,bytes,stride,iterations,avg_kernel_ms,min_kernel_ms,effective_gbps,correct
contiguous,1048576,4194304,1,10,0.026765,0.020544,313.419,PASS
contiguous,1048576,4194304,1,50,0.017578,0.015008,477.215,PASS
contiguous,1048576,4194304,1,100,0.017039,0.013472,492.308,PASS
strided,1048576,4194304,2,10,0.052294,0.044896,160.411,PASS
strided,1048576,4194304,2,50,0.045130,0.037824,185.878,PASS
strided,1048576,4194304,2,100,0.043465,0.035744,192.997,PASS
strided,1048576,4194304,4,10,0.043837,0.040288,191.360,PASS
strided,1048576,4194304,4,50,0.044127,0.037632,190.103,PASS
strided,1048576,4194304,4,100,0.043280,0.036672,193.820,PASS
strided,1048576,4194304,8,10,0.047363,0.040192,177.112,PASS
strided,1048576,4194304,8,50,0.044582,0.039200,188.160,PASS
strided,1048576,4194304,8,100,0.043066,0.037056,194.785,PASS
strided,1048576,4194304,16,10,0.045309,0.039936,185.143,PASS
strided,1048576,4194304,16,50,0.043006,0.037120,195.056,PASS
strided,1048576,4194304,16,100,0.040914,0.034496,205.031,PASS
strided,1048576,4194304,32,10,0.045274,0.040768,185.287,PASS
strided,1048576,4194304,32,50,0.040629,0.036288,206.468,PASS
strided,1048576,4194304,32,100,0.040360,0.034112,207.843,PASS
strided,1048576,4194304,64,10,0.044621,0.038176,187.998,PASS
strided,1048576,4194304,64,50,0.042547,0.034656,197.163,PASS
strided,1048576,4194304,64,100,0.039101,0.033760,214.538,PASS
contiguous,4194304,16777216,1,10,0.016051,0.014304,2090.463,PASS
contiguous,4194304,16777216,1,50,0.015084,0.012832,2224.481,PASS
contiguous,4194304,16777216,1,100,0.014516,0.012288,2311.472,PASS
strided,4194304,16777216,2,10,0.046515,0.039040,721.365,PASS
strided,4194304,16777216,2,50,0.042879,0.036576,782.543,PASS
strided,4194304,16777216,2,100,0.042013,0.037344,798.659,PASS
strided,4194304,16777216,4,10,0.049101,0.043040,683.379,PASS
strided,4194304,16777216,4,50,0.044553,0.039520,753.136,PASS
strided,4194304,16777216,4,100,0.041607,0.036864,806.460,PASS
