transpose_variant,rows,cols,bytes,iterations,avg_kernel_ms,min_kernel_ms,effective_gbps,correct
naive,1024,1024,4194304,10,0.008269,0.007616,1014.489,PASS
naive,1024,1024,4194304,50,0.008252,0.007520,1016.614,PASS
naive,1024,1024,4194304,100,0.008038,0.007520,1043.650,PASS
tiled,1024,1024,4194304,10,0.006029,0.005632,1391.422,PASS
tiled,1024,1024,4194304,50,0.006074,0.005568,1381.013,PASS
tiled,1024,1024,4194304,100,0.006019,0.005568,1393.641,PASS
naive,2048,1024,8388608,10,0.011286,0.010016,1486.498,PASS
naive,2048,1024,8388608,50,0.011228,0.010048,1494.209,PASS
naive,2048,1024,8388608,100,0.011050,0.010080,1518.267,PASS
tiled,2048,1024,8388608,10,0.007930,0.007520,2115.771,PASS
tiled,2048,1024,8388608,50,0.008205,0.007552,2044.805,PASS
tiled,2048,1024,8388608,100,0.008148,0.007552,2058.938,PASS
naive,4096,2048,33554432,10,0.026630,0.025952,2520.010,PASS
naive,4096,2048,33554432,50,0.026691,0.025952,2514.269,PASS
naive,4096,2048,33554432,100,0.026557,0.025952,2526.993,PASS
tiled,4096,2048,33554432,10,0.014131,0.013728,4748.985,PASS
tiled,4096,2048,33554432,50,0.014350,0.013696,4676.550,PASS
tiled,4096,2048,33554432,100,0.014431,0.013728,4650.211,PASS
