matmul_variant,M,N,K,iterations,avg_kernel_ms,min_kernel_ms,gflops,correct
torch,256,256,256,10,0.051706,0.046848,648.952,PASS
torch,256,256,256,50,0.045379,0.039520,739.434,PASS
torch,256,256,256,100,0.043151,0.039040,777.604,PASS
torch,512,512,512,10,0.047075,0.042240,5702.269,PASS
torch,512,512,512,50,0.043934,0.038208,6109.960,PASS
torch,512,512,512,100,0.042098,0.036064,6376.454,PASS
torch,768,768,768,10,0.049005,0.046400,18487.366,PASS
torch,768,768,768,50,0.048438,0.045504,18703.789,PASS
torch,768,768,768,100,0.048396,0.045440,18719.990,PASS
