matmul_variant,M,N,K,iterations,avg_kernel_ms,min_kernel_ms,gflops,correct
naive,256,256,256,10,0.040570,0.040416,827.083,PASS
naive,256,256,256,50,0.040543,0.040352,827.619,PASS
naive,256,256,256,100,0.040587,0.040352,826.731,PASS
tiled,256,256,256,10,0.032291,0.032160,1039.120,PASS
tiled,256,256,256,50,0.032304,0.032160,1038.708,PASS
tiled,256,256,256,100,0.032329,0.032160,1037.897,PASS
naive,512,512,512,10,0.247613,0.247392,1084.094,PASS
naive,512,512,512,50,0.247530,0.245440,1084.455,PASS
naive,512,512,512,100,0.247379,0.245344,1085.120,PASS
tiled,512,512,512,10,0.181779,0.181696,1476.712,PASS
tiled,512,512,512,50,0.182444,0.181216,1471.330,PASS
tiled,512,512,512,100,0.181727,0.179808,1477.136,PASS
naive,768,768,768,10,0.836275,0.835072,1083.339,PASS
naive,768,768,768,50,0.836152,0.834944,1083.498,PASS
naive,768,768,768,100,0.836097,0.835040,1083.570,PASS
tiled,768,768,768,10,0.595962,0.595424,1520.181,PASS
tiled,768,768,768,50,0.595702,0.595424,1520.843,PASS
tiled,768,768,768,100,0.595725,0.595360,1520.784,PASS
