copy_pattern,size,bytes,stride,iterations,avg_kernel_ms,min_kernel_ms,effective_gbps,correct
contiguous,1048576,4194304,1,10,0.007661,0.006208,1095.004,PASS
contiguous,1048576,4194304,1,50,0.007868,0.006176,1066.146,PASS
contiguous,1048576,4194304,1,100,0.007910,0.006208,1060.496,PASS
strided,1048576,4194304,2,10,0.008035,0.007808,1043.983,PASS
strided,1048576,4194304,2,50,0.008045,0.006464,1042.654,PASS
strided,1048576,4194304,2,100,0.007954,0.006464,1054.651,PASS
strided,1048576,4194304,4,10,0.007974,0.007552,1051.942,PASS
strided,1048576,4194304,4,50,0.008239,0.007488,1018.114,PASS
strided,1048576,4194304,4,100,0.008111,0.006528,1034.221,PASS
strided,1048576,4194304,8,10,0.007856,0.007328,1067.796,PASS
strided,1048576,4194304,8,50,0.008224,0.007552,1020.016,PASS
strided,1048576,4194304,8,100,0.008087,0.007552,1037.290,PASS
strided,1048576,4194304,16,10,0.008192,0.007648,1024.000,PASS
strided,1048576,4194304,16,50,0.008075,0.007552,1038.853,PASS
strided,1048576,4194304,16,100,0.008032,0.007552,1044.398,PASS
strided,1048576,4194304,32,10,0.010016,0.009664,837.521,PASS
strided,1048576,4194304,32,50,0.010200,0.009632,822.387,PASS
strided,1048576,4194304,32,100,0.010171,0.009568,824.793,PASS
strided,1048576,4194304,64,10,0.010371,0.009856,808.837,PASS
strided,1048576,4194304,64,50,0.010173,0.009632,824.560,PASS
strided,1048576,4194304,64,100,0.010043,0.009600,835.253,PASS
contiguous,4194304,16777216,1,10,0.014147,0.012704,2371.807,PASS
contiguous,4194304,16777216,1,50,0.014458,0.012736,2320.783,PASS
contiguous,4194304,16777216,1,100,0.014332,0.012672,2341.303,PASS
strided,4194304,16777216,2,10,0.014173,0.013760,2367.523,PASS
strided,4194304,16777216,2,50,0.014513,0.013760,2311.982,PASS
strided,4194304,16777216,2,100,0.014241,0.013696,2356.192,PASS
strided,4194304,16777216,4,10,0.014304,0.013952,2345.808,PASS
strided,4194304,16777216,4,50,0.014408,0.013696,2328.824,PASS
strided,4194304,16777216,4,100,0.014254,0.013664,2354.076,PASS
strided,4194304,16777216,8,10,0.014374,0.013696,2334.319,PASS
strided,4194304,16777216,8,50,0.014470,0.013216,2318.935,PASS
strided,4194304,16777216,8,100,0.014323,0.013664,2342.716,PASS
strided,4194304,16777216,16,10,0.016595,0.015712,2021.936,PASS
strided,4194304,16777216,16,50,0.016627,0.015776,2018.122,PASS
strided,4194304,16777216,16,100,0.016281,0.015712,2061.002,PASS
strided,4194304,16777216,32,10,0.022608,0.021888,1484.184,PASS
strided,4194304,16777216,32,50,0.022839,0.021888,1469.170,PASS
strided,4194304,16777216,32,100,0.022505,0.021856,1490.958,PASS
strided,4194304,16777216,64,10,0.022819,0.021984,1470.447,PASS
strided,4194304,16777216,64,50,0.022949,0.021856,1462.123,PASS
strided,4194304,16777216,64,100,0.022460,0.021856,1493.996,PASS
contiguous,16777216,67108864,1,10,0.051184,0.049280,2622.260,PASS
contiguous,16777216,67108864,1,50,0.051313,0.049280,2615.653,PASS
contiguous,16777216,67108864,1,100,0.050950,0.049184,2634.282,PASS
strided,16777216,67108864,2,10,0.055459,0.054720,2420.116,PASS
strided,16777216,67108864,2,50,0.055828,0.054624,2404.109,PASS
strided,16777216,67108864,2,100,0.055571,0.054656,2415.239,PASS
strided,16777216,67108864,4,10,0.047168,0.046496,2845.525,PASS
strided,16777216,67108864,4,50,0.047400,0.045408,2831.578,PASS
strided,16777216,67108864,4,100,0.047087,0.045280,2850.398,PASS
strided,16777216,67108864,8,10,0.047046,0.046560,2852.880,PASS
strided,16777216,67108864,8,50,0.047426,0.046528,2830.050,PASS
strided,16777216,67108864,8,100,0.047209,0.046432,2843.037,PASS
strided,16777216,67108864,16,10,0.052787,0.051008,2542.619,PASS
strided,16777216,67108864,16,50,0.051950,0.050528,2583.590,PASS
strided,16777216,67108864,16,100,0.051713,0.050528,2595.437,PASS
strided,16777216,67108864,32,10,0.072525,0.071552,1850.646,PASS
strided,16777216,67108864,32,50,0.072925,0.071104,1840.495,PASS
strided,16777216,67108864,32,100,0.072195,0.071072,1859.095,PASS
strided,16777216,67108864,64,10,0.070445,0.069600,1905.289,PASS
strided,16777216,67108864,64,50,0.070867,0.069216,1893.950,PASS
strided,16777216,67108864,64,100,0.070416,0.069184,1906.077,PASS
contiguous,67108864,268435456,1,10,0.185072,0.184256,2900.876,PASS
contiguous,67108864,268435456,1,50,0.186048,0.183936,2885.659,PASS
contiguous,67108864,268435456,1,100,0.185430,0.183936,2895.274,PASS
strided,67108864,268435456,2,10,0.219069,0.218528,2450.696,PASS
strided,67108864,268435456,2,50,0.219562,0.218496,2445.188,PASS
strided,67108864,268435456,2,100,0.219188,0.218496,2449.364,PASS
strided,67108864,268435456,4,10,0.239802,0.239008,2238.813,PASS
strided,67108864,268435456,4,50,0.239969,0.239008,2237.249,PASS
strided,67108864,268435456,4,100,0.239760,0.238976,2239.198,PASS
strided,67108864,268435456,8,10,0.325574,0.324992,1648.996,PASS
strided,67108864,268435456,8,50,0.326000,0.324992,1646.844,PASS
strided,67108864,268435456,8,100,0.325809,0.323872,1647.811,PASS
strided,67108864,268435456,16,10,0.618208,0.616032,868.431,PASS
strided,67108864,268435456,16,50,0.616496,0.613856,870.843,PASS
strided,67108864,268435456,16,100,0.616162,0.613824,871.315,PASS
strided,67108864,268435456,32,10,1.196413,1.193376,448.734,PASS
strided,67108864,268435456,32,50,1.193789,1.191456,449.720,PASS
strided,67108864,268435456,32,100,1.193632,1.191584,449.779,PASS
strided,67108864,268435456,64,10,1.193568,1.191040,449.803,PASS
strided,67108864,268435456,64,50,1.189900,1.187808,451.190,PASS
strided,67108864,268435456,64,100,1.189537,1.187424,451.328,PASS
