transpose_variant,rows,cols,bytes,iterations,avg_kernel_ms,min_kernel_ms,effective_gbps,correct
torch,1024,1024,4194304,10,0.030349,0.024064,276.407,PASS
torch,1024,1024,4194304,50,0.025974,0.022016,322.957,PASS
torch,1024,1024,4194304,100,0.024654,0.020864,340.257,PASS
torch,2048,1024,8388608,10,0.029152,0.024736,575.508,PASS
torch,2048,1024,8388608,50,0.027213,0.024384,616.505,PASS
torch,2048,1024,8388608,100,0.027196,0.024256,616.911,PASS
torch,4096,2048,33554432,10,0.052650,0.051040,1274.632,PASS
torch,4096,2048,33554432,50,0.052094,0.048128,1288.224,PASS
torch,4096,2048,33554432,100,0.050654,0.047392,1324.846,PASS
