transpose_variant,rows,cols,bytes,iterations,avg_kernel_ms,min_kernel_ms,effective_gbps,correct
naive,1024,1024,4194304,10,0.008490,0.007520,988.104,PASS
naive,1024,1024,4194304,50,0.008366,0.007552,1002.693,PASS
naive,1024,1024,4194304,100,0.008207,0.007552,1022.123,PASS
tiled,1024,1024,4194304,10,0.005869,0.005568,1429.357,PASS
tiled,1024,1024,4194304,50,0.006132,0.005568,1367.898,PASS
tiled,1024,1024,4194304,100,0.006203,0.005536,1352.443,PASS
naive,2048,1024,8388608,10,0.010966,0.010144,1529.874,PASS
naive,2048,1024,8388608,50,0.011428,0.009920,1468.100,PASS
naive,2048,1024,8388608,100,0.010979,0.010048,1528.180,PASS
tiled,2048,1024,8388608,10,0.008090,0.007680,2073.924,PASS
tiled,2048,1024,8388608,50,0.008337,0.007552,2012.467,PASS
tiled,2048,1024,8388608,100,0.008177,0.007552,2051.767,PASS
naive,4096,2048,33554432,10,0.026992,0.026272,2486.250,PASS
naive,4096,2048,33554432,50,0.030509,0.026048,2199.609,PASS
naive,4096,2048,33554432,100,0.028419,0.025984,2361.445,PASS
tiled,4096,2048,33554432,10,0.014250,0.013760,4709.527,PASS
tiled,4096,2048,33554432,50,0.014507,0.013696,4626.002,PASS
tiled,4096,2048,33554432,100,0.014356,0.013696,4674.674,PASS
