transpose_variant,rows,cols,bytes,iterations,avg_kernel_ms,min_kernel_ms,effective_gbps,correct
naive,1024,1024,4194304,10,0.009587,0.008352,874.980,PASS
naive,1024,1024,4194304,50,0.009945,0.008032,843.503,PASS
naive,1024,1024,4194304,100,0.009503,0.008128,882.699,PASS
tiled,1024,1024,4194304,10,0.007434,0.006880,1128.472,PASS
tiled,1024,1024,4194304,50,0.007420,0.006112,1130.516,PASS
tiled,1024,1024,4194304,100,0.006846,0.005888,1225.258,PASS
naive,2048,1024,8388608,10,0.012003,0.010624,1397.729,PASS
naive,2048,1024,8388608,50,0.012178,0.010528,1377.675,PASS
naive,2048,1024,8388608,100,0.011932,0.010240,1406.126,PASS
tiled,2048,1024,8388608,10,0.008742,0.007680,1919.063,PASS
tiled,2048,1024,8388608,50,0.008790,0.007616,1908.723,PASS
tiled,2048,1024,8388608,100,0.008694,0.007520,1929.729,PASS
naive,4096,2048,33554432,10,0.027200,0.026080,2467.238,PASS
naive,4096,2048,33554432,50,0.027776,0.026464,2416.073,PASS
naive,4096,2048,33554432,100,0.027506,0.026400,2439.768,PASS
tiled,4096,2048,33554432,10,0.015453,0.014560,4342.829,PASS
tiled,4096,2048,33554432,50,0.015454,0.014048,4342.469,PASS
tiled,4096,2048,33554432,100,0.016112,0.014048,4165.066,PASS
