matmul_variant,M,N,K,iterations,avg_kernel_ms,min_kernel_ms,gflops,correct
naive,256,256,256,10,0.041245,0.040352,813.543,PASS
naive,256,256,256,50,0.040919,0.039840,820.020,PASS
naive,256,256,256,100,0.040860,0.039456,821.202,PASS
tiled,256,256,256,10,0.032742,0.032416,1024.801,PASS
tiled,256,256,256,50,0.032824,0.032192,1022.263,PASS
tiled,256,256,256,100,0.032778,0.032128,1023.690,PASS
naive,512,512,512,10,0.247213,0.245664,1085.848,PASS
naive,512,512,512,50,0.247129,0.245824,1086.216,PASS
naive,512,512,512,100,0.247140,0.245760,1086.170,PASS
tiled,512,512,512,10,0.182285,0.181664,1472.616,PASS
tiled,512,512,512,50,0.181049,0.180000,1482.668,PASS
tiled,512,512,512,100,0.181533,0.180352,1478.711,PASS
naive,768,768,768,10,0.837155,0.835360,1082.200,PASS
naive,768,768,768,50,0.836543,0.834944,1082.992,PASS
naive,768,768,768,100,0.836333,0.834336,1083.264,PASS
tiled,768,768,768,10,0.596266,0.595616,1519.406,PASS
tiled,768,768,768,50,0.596188,0.594624,1519.605,PASS
tiled,768,768,768,100,0.596139,0.594592,1519.728,PASS
