framework,copy_pattern,size,bytes,stride,iterations,avg_kernel_ms,min_kernel_ms,effective_gbps,correct
cuda,contiguous,1048576,4194304,1,10,0.009594,0.007712,874.396,PASS
cuda,contiguous,1048576,4194304,1,50,0.010152,0.006976,826.327,PASS
cuda,contiguous,1048576,4194304,1,100,0.009716,0.006752,863.338,PASS
cuda,strided,1048576,4194304,2,10,0.010173,0.008256,824.612,PASS
cuda,strided,1048576,4194304,2,50,0.010128,0.007776,828.259,PASS
cuda,strided,1048576,4194304,2,100,0.010239,0.008192,819.302,PASS
cuda,strided,1048576,4194304,4,10,0.009696,0.007520,865.162,PASS
cuda,strided,1048576,4194304,4,50,0.009832,0.007680,853.167,PASS
cuda,strided,1048576,4194304,4,100,0.010024,0.007680,836.852,PASS
cuda,strided,1048576,4194304,8,10,0.010416,0.009472,805.358,PASS
cuda,strided,1048576,4194304,8,50,0.010236,0.008608,819.559,PASS
cuda,strided,1048576,4194304,8,100,0.010080,0.007680,832.203,PASS
cuda,strided,1048576,4194304,16,10,0.009840,0.008544,852.501,PASS
cuda,strided,1048576,4194304,16,50,0.010041,0.008000,835.439,PASS
cuda,strided,1048576,4194304,16,100,0.009949,0.007840,843.123,PASS
cuda,strided,1048576,4194304,32,10,0.011712,0.010304,716.240,PASS
cuda,strided,1048576,4194304,32,50,0.012003,0.010208,698.864,PASS
cuda,strided,1048576,4194304,32,100,0.011713,0.009664,716.162,PASS
cuda,strided,1048576,4194304,64,10,0.011936,0.010432,702.799,PASS
cuda,strided,1048576,4194304,64,50,0.011594,0.009952,723.515,PASS
cuda,strided,1048576,4194304,64,100,0.011311,0.009632,741.651,PASS
cuda,contiguous,4194304,16777216,1,10,0.016122,0.014656,2081.334,PASS
cuda,contiguous,4194304,16777216,1,50,0.016216,0.013792,2069.177,PASS
cuda,contiguous,4194304,16777216,1,100,0.015745,0.013664,2131.079,PASS
cuda,strided,4194304,16777216,2,10,0.016346,0.015072,2052.811,PASS
cuda,strided,4194304,16777216,2,50,0.016092,0.013824,2085.141,PASS
cuda,strided,4194304,16777216,2,100,0.015746,0.013792,2130.949,PASS
cuda,strided,4194304,16777216,4,10,0.014739,0.013792,2276.544,PASS
cuda,strided,4194304,16777216,4,50,0.016117,0.013952,2081.912,PASS
cuda,strided,4194304,16777216,4,100,0.015996,0.013792,2097.655,PASS
cuda,strided,4194304,16777216,8,10,0.015699,0.015008,2137.334,PASS
cuda,strided,4194304,16777216,8,50,0.016158,0.014016,2076.635,PASS
cuda,strided,4194304,16777216,8,100,0.016061,0.013856,2089.213,PASS
cuda,strided,4194304,16777216,16,10,0.017549,0.016448,1912.064,PASS
cuda,strided,4194304,16777216,16,50,0.018092,0.016256,1854.639,PASS
cuda,strided,4194304,16777216,16,100,0.017853,0.015776,1879.438,PASS
cuda,strided,4194304,16777216,32,10,0.023974,0.023136,1399.594,PASS
cuda,strided,4194304,16777216,32,50,0.024289,0.021856,1381.487,PASS
cuda,strided,4194304,16777216,32,100,0.024098,0.022112,1392.421,PASS
cuda,strided,4194304,16777216,64,10,0.023875,0.022752,1405.409,PASS
cuda,strided,4194304,16777216,64,50,0.024543,0.022336,1367.149,PASS
cuda,strided,4194304,16777216,64,100,0.023914,0.021888,1403.115,PASS
cuda,contiguous,16777216,67108864,1,10,0.052643,0.051040,2549.574,PASS
