copy_pattern,size,bytes,stride,iterations,avg_kernel_ms,min_kernel_ms,effective_gbps,correct
contiguous,1048576,4194304,1,10,0.028205,0.021760,297.418,PASS
contiguous,1048576,4194304,1,50,0.019110,0.016864,438.970,PASS
contiguous,1048576,4194304,1,100,0.018112,0.015232,463.144,PASS
strided,1048576,4194304,2,10,0.052662,0.042880,159.290,PASS
strided,1048576,4194304,2,50,0.047216,0.040224,177.665,PASS
strided,1048576,4194304,2,100,0.047403,0.041216,176.964,PASS
strided,1048576,4194304,4,10,0.047258,0.039040,177.508,PASS
strided,1048576,4194304,4,50,0.046712,0.041088,179.583,PASS
strided,1048576,4194304,4,100,0.043201,0.035936,194.178,PASS
strided,1048576,4194304,8,10,0.047050,0.039136,178.293,PASS
strided,1048576,4194304,8,50,0.045244,0.039136,185.408,PASS
strided,1048576,4194304,8,100,0.042594,0.037408,196.942,PASS
strided,1048576,4194304,16,10,0.045715,0.038720,183.497,PASS
strided,1048576,4194304,16,50,0.045868,0.039744,182.885,PASS
strided,1048576,4194304,16,100,0.043356,0.037408,193.484,PASS
strided,1048576,4194304,32,10,0.045107,0.041152,185.970,PASS
strided,1048576,4194304,32,50,0.043527,0.037056,192.722,PASS
strided,1048576,4194304,32,100,0.042465,0.035072,197.540,PASS
strided,1048576,4194304,64,10,0.045254,0.041472,185.366,PASS
strided,1048576,4194304,64,50,0.042404,0.037216,197.824,PASS
strided,1048576,4194304,64,100,0.041608,0.036128,201.610,PASS
contiguous,4194304,16777216,1,10,0.017098,0.015328,1962.523,PASS
contiguous,4194304,16777216,1,50,0.016065,0.014048,2088.714,PASS
contiguous,4194304,16777216,1,100,0.015376,0.013568,2182.215,PASS
strided,4194304,16777216,2,10,0.047459,0.041440,707.016,PASS
strided,4194304,16777216,2,50,0.045311,0.038656,740.541,PASS
strided,4194304,16777216,2,100,0.045140,0.038624,743.339,PASS
strided,4194304,16777216,4,10,0.047997,0.043616,699.097,PASS
strided,4194304,16777216,4,50,0.045027,0.038016,745.204,PASS
