transpose_variant,rows,cols,bytes,iterations,avg_kernel_ms,min_kernel_ms,effective_gbps,correct
torch,1024,1024,4194304,10,0.031334,0.023424,267.712,PASS
torch,1024,1024,4194304,50,0.025437,0.021920,329.782,PASS
torch,1024,1024,4194304,100,0.024838,0.021248,337.732,PASS
torch,2048,1024,8388608,10,0.029642,0.026592,566.002,PASS
torch,2048,1024,8388608,50,0.027674,0.023936,606.239,PASS
torch,2048,1024,8388608,100,0.027194,0.023808,616.955,PASS
torch,4096,2048,33554432,10,0.053216,0.049216,1261.066,PASS
torch,4096,2048,33554432,50,0.051548,0.048416,1301.883,PASS
torch,4096,2048,33554432,100,0.051581,0.048128,1301.027,PASS
