framework,matmul_variant,M,N,K,iterations,avg_kernel_ms,min_kernel_ms,gflops,correct
cuda,naive,256,256,256,10,0.040570,0.040416,827.083,PASS
cuda,naive,256,256,256,50,0.040543,0.040352,827.619,PASS
cuda,naive,256,256,256,100,0.040587,0.040352,826.731,PASS
cuda,tiled,256,256,256,10,0.032291,0.032160,1039.120,PASS
cuda,tiled,256,256,256,50,0.032304,0.032160,1038.708,PASS
cuda,tiled,256,256,256,100,0.032329,0.032160,1037.897,PASS
cuda,naive,512,512,512,10,0.247613,0.247392,1084.094,PASS
cuda,naive,512,512,512,50,0.247530,0.245440,1084.455,PASS
cuda,naive,512,512,512,100,0.247379,0.245344,1085.120,PASS
cuda,tiled,512,512,512,10,0.181779,0.181696,1476.712,PASS
cuda,tiled,512,512,512,50,0.182444,0.181216,1471.330,PASS
cuda,tiled,512,512,512,100,0.181727,0.179808,1477.136,PASS
cuda,naive,768,768,768,10,0.836275,0.835072,1083.339,PASS
cuda,naive,768,768,768,50,0.836152,0.834944,1083.498,PASS
cuda,naive,768,768,768,100,0.836097,0.835040,1083.570,PASS
cuda,tiled,768,768,768,10,0.595962,0.595424,1520.181,PASS
cuda,tiled,768,768,768,50,0.595702,0.595424,1520.843,PASS
cuda,tiled,768,768,768,100,0.595725,0.595360,1520.784,PASS
pytorch,torch,256,256,256,10,0.045843,0.038368,731.939,PASS
pytorch,torch,256,256,256,50,0.040143,0.035520,835.865,PASS
pytorch,torch,256,256,256,100,0.040439,0.034528,829.760,PASS
pytorch,torch,512,512,512,10,0.043453,0.037824,6177.633,PASS
pytorch,torch,512,512,512,50,0.040804,0.035776,6578.681,PASS
pytorch,torch,512,512,512,100,0.040133,0.034912,6688.573,PASS
pytorch,torch,768,768,768,10,0.049552,0.045728,18283.211,PASS
pytorch,torch,768,768,768,50,0.046790,0.043424,19362.298,PASS
pytorch,torch,768,768,768,100,0.046667,0.043136,19413.680,PASS
