transpose_variant,rows,cols,bytes,iterations,avg_kernel_ms,min_kernel_ms,effective_gbps,correct
naive_b16,1024,1024,4194304,10,0.009389,0.008448,893.470,PASS
naive_b16,1024,1024,4194304,50,0.009722,0.007776,862.883,PASS
naive_b16,1024,1024,4194304,100,0.009395,0.007840,892.861,PASS
tiled_t8_br8,1024,1024,4194304,10,0.015450,0.014720,542.966,PASS
tiled_t8_br8,1024,1024,4194304,50,0.015617,0.013472,537.136,PASS
tiled_t8_br8,1024,1024,4194304,100,0.015497,0.013472,541.307,PASS
tiled_t16_br8,1024,1024,4194304,10,0.009110,0.008736,920.773,PASS
tiled_t16_br8,1024,1024,4194304,50,0.009249,0.007680,907.010,PASS
tiled_t16_br8,1024,1024,4194304,100,0.008926,0.006944,939.820,PASS
tiled_t32_br8,1024,1024,4194304,10,0.006925,0.006272,1211.386,PASS
tiled_t32_br8,1024,1024,4194304,50,0.007190,0.006048,1166.640,PASS
tiled_t32_br8,1024,1024,4194304,100,0.007097,0.005792,1182.000,PASS
naive_b16,2048,1024,8388608,10,0.013146,0.011232,1276.261,PASS
naive_b16,2048,1024,8388608,50,0.013260,0.010720,1265.296,PASS
naive_b16,2048,1024,8388608,100,0.012588,0.011040,1332.744,PASS
tiled_t8_br8,2048,1024,8388608,10,0.024288,0.022848,690.762,PASS
tiled_t8_br8,2048,1024,8388608,50,0.024182,0.022656,693.796,PASS
tiled_t8_br8,2048,1024,8388608,100,0.024084,0.022080,696.617,PASS
tiled_t16_br8,2048,1024,8388608,10,0.011533,0.010112,1454.739,PASS
tiled_t16_br8,2048,1024,8388608,50,0.011315,0.009856,1482.799,PASS
tiled_t16_br8,2048,1024,8388608,100,0.011362,0.009696,1476.576,PASS
tiled_t32_br8,2048,1024,8388608,10,0.009085,0.008064,1846.735,PASS
tiled_t32_br8,2048,1024,8388608,50,0.009507,0.007680,1764.805,PASS
tiled_t32_br8,2048,1024,8388608,100,0.009156,0.007712,1832.278,PASS
naive_b16,4096,2048,33554432,10,0.028438,0.027104,2359.797,PASS
naive_b16,4096,2048,33554432,50,0.028410,0.026112,2362.137,PASS
naive_b16,4096,2048,33554432,100,0.028357,0.026560,2366.535,PASS
tiled_t8_br8,4096,2048,33554432,10,0.075469,0.074432,889.227,PASS
tiled_t8_br8,4096,2048,33554432,50,0.075588,0.073632,887.819,PASS
tiled_t8_br8,4096,2048,33554432,100,0.075111,0.073760,893.462,PASS
tiled_t16_br8,4096,2048,33554432,10,0.023696,0.022784,2832.076,PASS
tiled_t16_br8,4096,2048,33554432,50,0.023516,0.021856,2853.812,PASS
tiled_t16_br8,4096,2048,33554432,100,0.023471,0.021952,2859.260,PASS
tiled_t32_br8,4096,2048,33554432,10,0.016406,0.014592,4090.408,PASS
tiled_t32_br8,4096,2048,33554432,50,0.016532,0.014720,4059.213,PASS
tiled_t32_br8,4096,2048,33554432,100,0.016240,0.014336,4132.238,PASS
naive_b16,1536,1000,6144000,10,0.011955,0.010400,1027.837,PASS
naive_b16,1536,1000,6144000,50,0.012236,0.010816,1004.237,PASS
naive_b16,1536,1000,6144000,100,0.011414,0.009984,1076.565,PASS
tiled_t8_br8,1536,1000,6144000,10,0.019955,0.019104,615.779,PASS
tiled_t8_br8,1536,1000,6144000,50,0.019947,0.018336,616.036,PASS
tiled_t8_br8,1536,1000,6144000,100,0.019452,0.017376,631.693,PASS
tiled_t16_br8,1536,1000,6144000,10,0.009472,0.008416,1297.297,PASS
tiled_t16_br8,1536,1000,6144000,50,0.009604,0.008160,1279.488,PASS
tiled_t16_br8,1536,1000,6144000,100,0.009354,0.008064,1313.674,PASS
tiled_t32_br8,1536,1000,6144000,10,0.008470,0.007392,1450.699,PASS
tiled_t32_br8,1536,1000,6144000,50,0.008572,0.007040,1433.478,PASS
tiled_t32_br8,1536,1000,6144000,100,0.008176,0.006368,1502.877,PASS
naive_b16,3072,777,9547776,10,0.015197,0.013792,1256.551,PASS
naive_b16,3072,777,9547776,50,0.015346,0.012768,1244.341,PASS
naive_b16,3072,777,9547776,100,0.015195,0.013216,1256.683,PASS
tiled_t8_br8,3072,777,9547776,10,0.026054,0.025184,732.911,PASS
tiled_t8_br8,3072,777,9547776,50,0.026206,0.024864,728.669,PASS
tiled_t8_br8,3072,777,9547776,100,0.026046,0.024384,733.145,PASS
tiled_t16_br8,3072,777,9547776,10,0.010970,0.010336,1740.770,PASS
tiled_t16_br8,3072,777,9547776,50,0.011473,0.010336,1664.443,PASS
tiled_t16_br8,3072,777,9547776,100,0.011500,0.010208,1660.552,PASS
tiled_t32_br8,3072,777,9547776,10,0.009162,0.008448,2084.303,PASS
tiled_t32_br8,3072,777,9547776,50,0.009523,0.007872,2005.296,PASS
tiled_t32_br8,3072,777,9547776,100,0.009301,0.007776,2053.109,PASS
