copy_pattern,size,bytes,stride,iterations,avg_kernel_ms,min_kernel_ms,effective_gbps,correct
contiguous,1048576,4194304,1,10,0.008947,0.007200,937.568,PASS
contiguous,1048576,4194304,1,50,0.009255,0.006848,906.383,PASS
contiguous,1048576,4194304,1,100,0.008869,0.006976,945.788,PASS
strided,1048576,4194304,2,10,0.009619,0.008608,872.069,PASS
strided,1048576,4194304,2,50,0.009230,0.007456,908.834,PASS
strided,1048576,4194304,2,100,0.009403,0.006816,892.132,PASS
strided,1048576,4194304,4,10,0.009382,0.008576,894.079,PASS
strided,1048576,4194304,4,50,0.009646,0.007712,869.639,PASS
strided,1048576,4194304,4,100,0.009213,0.007200,910.475,PASS
strided,1048576,4194304,8,10,0.009126,0.007360,919.158,PASS
strided,1048576,4194304,8,50,0.009200,0.007776,911.805,PASS
strided,1048576,4194304,8,100,0.009103,0.007392,921.485,PASS
strided,1048576,4194304,16,10,0.009370,0.008704,895.301,PASS
strided,1048576,4194304,16,50,0.009165,0.008064,915.308,PASS
strided,1048576,4194304,16,100,0.009118,0.008160,919.965,PASS
strided,1048576,4194304,32,10,0.010896,0.010336,769.880,PASS
strided,1048576,4194304,32,50,0.011162,0.009600,751.560,PASS
strided,1048576,4194304,32,100,0.011074,0.009664,757.532,PASS
strided,1048576,4194304,64,10,0.010509,0.009888,798.246,PASS
strided,1048576,4194304,64,50,0.010920,0.009920,768.165,PASS
strided,1048576,4194304,64,100,0.010702,0.009888,783.830,PASS
contiguous,4194304,16777216,1,10,0.015277,0.014592,2196.431,PASS
contiguous,4194304,16777216,1,50,0.015459,0.013952,2170.516,PASS
contiguous,4194304,16777216,1,100,0.014877,0.013536,2255.438,PASS
strided,4194304,16777216,2,10,0.014739,0.013984,2276.544,PASS
strided,4194304,16777216,2,50,0.014943,0.013504,2245.537,PASS
strided,4194304,16777216,2,100,0.014932,0.013664,2247.222,PASS
strided,4194304,16777216,4,10,0.015181,0.014368,2210.321,PASS
strided,4194304,16777216,4,50,0.015272,0.014144,2197.167,PASS
strided,4194304,16777216,4,100,0.015000,0.013792,2236.962,PASS
strided,4194304,16777216,8,10,0.015274,0.014688,2196.891,PASS
strided,4194304,16777216,8,50,0.015190,0.013888,2209.016,PASS
strided,4194304,16777216,8,100,0.015473,0.014208,2168.630,PASS
strided,4194304,16777216,16,10,0.017158,0.016192,1955.569,PASS
strided,4194304,16777216,16,50,0.017773,0.016480,1887.965,PASS
strided,4194304,16777216,16,100,0.017778,0.015776,1887.456,PASS
strided,4194304,16777216,32,10,0.023802,0.022848,1409.755,PASS
strided,4194304,16777216,32,50,0.023988,0.022432,1398.773,PASS
strided,4194304,16777216,32,100,0.023617,0.022048,1420.777,PASS
strided,4194304,16777216,64,10,0.023427,0.022016,1432.285,PASS
strided,4194304,16777216,64,50,0.023766,0.022624,1411.881,PASS
strided,4194304,16777216,64,100,0.023387,0.021920,1434.735,PASS
contiguous,16777216,67108864,1,10,0.052320,0.050016,2565.323,PASS
contiguous,16777216,67108864,1,50,0.052640,0.049760,2549.729,PASS
contiguous,16777216,67108864,1,100,0.051698,0.049408,2596.208,PASS
strided,16777216,67108864,2,10,0.056451,0.055584,2377.589,PASS
strided,16777216,67108864,2,50,0.056640,0.055072,2369.663,PASS
strided,16777216,67108864,2,100,0.056372,0.055104,2380.922,PASS
strided,16777216,67108864,4,10,0.048282,0.047392,2779.894,PASS
strided,16777216,67108864,4,50,0.048676,0.046816,2757.343,PASS
strided,16777216,67108864,4,100,0.048159,0.046592,2786.968,PASS
strided,16777216,67108864,8,10,0.048378,0.047136,2774.378,PASS
strided,16777216,67108864,8,50,0.048209,0.046720,2784.064,PASS
strided,16777216,67108864,8,100,0.048120,0.046560,2789.211,PASS
strided,16777216,67108864,16,10,0.054746,0.053152,2451.663,PASS
strided,16777216,67108864,16,50,0.054010,0.051584,2485.042,PASS
strided,16777216,67108864,16,100,0.053269,0.051200,2519.616,PASS
strided,16777216,67108864,32,10,0.073450,0.072032,1827.345,PASS
strided,16777216,67108864,32,50,0.073730,0.071808,1820.397,PASS
strided,16777216,67108864,32,100,0.073751,0.072256,1819.868,PASS
strided,16777216,67108864,64,10,0.071242,0.070336,1883.980,PASS
strided,16777216,67108864,64,50,0.071423,0.069504,1879.202,PASS
strided,16777216,67108864,64,100,0.071539,0.069856,1876.150,PASS
contiguous,67108864,268435456,1,10,0.186294,0.184288,2881.841,PASS
contiguous,67108864,268435456,1,50,0.187288,0.184960,2866.558,PASS
contiguous,67108864,268435456,1,100,0.186511,0.184480,2878.490,PASS
strided,67108864,268435456,2,10,0.220352,0.219232,2436.424,PASS
strided,67108864,268435456,2,50,0.220520,0.218656,2434.564,PASS
strided,67108864,268435456,2,100,0.220423,0.218752,2435.643,PASS
strided,67108864,268435456,4,10,0.241005,0.240032,2227.636,PASS
strided,67108864,268435456,4,50,0.241975,0.239488,2218.704,PASS
strided,67108864,268435456,4,100,0.241409,0.239904,2223.909,PASS
strided,67108864,268435456,8,10,0.327667,0.326336,1638.464,PASS
strided,67108864,268435456,8,50,0.327386,0.324800,1639.870,PASS
strided,67108864,268435456,8,100,0.327096,0.324992,1641.327,PASS
strided,67108864,268435456,16,10,0.622806,0.618400,862.019,PASS
strided,67108864,268435456,16,50,0.621160,0.617376,864.303,PASS
strided,67108864,268435456,16,100,0.620716,0.616544,864.922,PASS
strided,67108864,268435456,32,10,1.202061,1.199648,446.625,PASS
strided,67108864,268435456,32,50,1.200791,1.196672,447.098,PASS
strided,67108864,268435456,32,100,1.198626,1.194272,447.905,PASS
strided,67108864,268435456,64,10,1.200125,1.197248,447.346,PASS
strided,67108864,268435456,64,50,1.197420,1.192864,448.356,PASS
strided,67108864,268435456,64,100,1.195287,1.192192,449.157,PASS
