matmul_variant,M,N,K,iterations,avg_kernel_ms,min_kernel_ms,gflops,correct
torch,256,256,256,10,0.047318,0.038784,709.120,PASS
torch,256,256,256,50,0.043078,0.036768,778.915,PASS
torch,256,256,256,100,0.038791,0.034496,864.998,PASS
torch,512,512,512,10,0.045654,0.037792,5879.728,PASS
torch,512,512,512,50,0.040839,0.036032,6573.011,PASS
torch,512,512,512,100,0.040636,0.034272,6605.827,PASS
torch,768,768,768,10,0.050016,0.045152,18113.597,PASS
torch,768,768,768,50,0.046765,0.043264,19372.632,PASS
torch,768,768,768,100,0.046320,0.042912,19558.930,PASS
