matmul_variant,M,N,K,iterations,avg_kernel_ms,min_kernel_ms,gflops,correct
naive,256,256,256,10,0.040784,0.039456,822.735,PASS
naive,256,256,256,50,0.040468,0.039424,829.150,PASS
naive,256,256,256,100,0.040532,0.039424,827.854,PASS
tiled,256,256,256,10,0.032451,0.032256,1033.997,PASS
tiled,256,256,256,50,0.032360,0.032224,1036.921,PASS
tiled,256,256,256,100,0.032332,0.032128,1037.794,PASS
naive,512,512,512,10,0.247229,0.245440,1085.777,PASS
naive,512,512,512,50,0.247190,0.245312,1085.949,PASS
naive,512,512,512,100,0.247237,0.245312,1085.740,PASS
tiled,512,512,512,10,0.181667,0.179904,1477.622,PASS
tiled,512,512,512,50,0.181676,0.179840,1477.549,PASS
tiled,512,512,512,100,0.181621,0.179808,1477.997,PASS
naive,768,768,768,10,0.836749,0.835168,1082.726,PASS
naive,768,768,768,50,0.836031,0.835072,1083.656,PASS
naive,768,768,768,100,0.836197,0.834944,1083.440,PASS
tiled,768,768,768,10,0.595811,0.595360,1520.565,PASS
tiled,768,768,768,50,0.595844,0.594592,1520.482,PASS
tiled,768,768,768,100,0.595743,0.594400,1520.738,PASS
