section,copy_pattern,size,bytes,stride,transpose_variant,rows,cols,matmul_variant,M,N,K,iterations,avg_kernel_ms,min_kernel_ms,effective_gbps,gflops,correct
copy,contiguous,1048576,4194304,1,,,,,,,,10,0.008688,0.007136,965.539,,PASS
copy,contiguous,1048576,4194304,1,,,,,,,,50,0.008784,0.007104,954.987,,PASS
copy,contiguous,1048576,4194304,1,,,,,,,,100,0.008297,0.006784,1011.085,,PASS
copy,strided,1048576,4194304,2,,,,,,,,10,0.008915,0.007808,940.933,,PASS
copy,strided,1048576,4194304,2,,,,,,,,50,0.009241,0.007360,907.764,,PASS
copy,strided,1048576,4194304,2,,,,,,,,100,0.008841,0.007168,948.835,,PASS
copy,strided,1048576,4194304,4,,,,,,,,10,0.008992,0.007392,932.897,,PASS
copy,strided,1048576,4194304,4,,,,,,,,50,0.009656,0.008224,868.717,,PASS
copy,strided,1048576,4194304,4,,,,,,,,100,0.009141,0.007552,917.711,,PASS
copy,strided,1048576,4194304,8,,,,,,,,10,0.009050,0.006944,926.959,,PASS
copy,strided,1048576,4194304,8,,,,,,,,50,0.009463,0.007680,886.460,,PASS
copy,strided,1048576,4194304,8,,,,,,,,100,0.009603,0.007808,873.522,,PASS
copy,strided,1048576,4194304,16,,,,,,,,10,0.009520,0.008448,881.156,,PASS
copy,strided,1048576,4194304,16,,,,,,,,50,0.009826,0.008160,853.723,,PASS
copy,strided,1048576,4194304,16,,,,,,,,100,0.009402,0.008480,892.223,,PASS
copy,strided,1048576,4194304,32,,,,,,,,10,0.011619,0.010176,721.961,,PASS
copy,strided,1048576,4194304,32,,,,,,,,50,0.011582,0.010656,724.275,,PASS
copy,strided,1048576,4194304,32,,,,,,,,100,0.011411,0.009920,735.121,,PASS
copy,strided,1048576,4194304,64,,,,,,,,10,0.011485,0.010592,730.410,,PASS
copy,strided,1048576,4194304,64,,,,,,,,50,0.011510,0.009728,728.785,,PASS
copy,strided,1048576,4194304,64,,,,,,,,100,0.010855,0.009696,772.808,,PASS
copy,contiguous,4194304,16777216,1,,,,,,,,10,0.015162,0.013600,2213.119,,PASS
copy,contiguous,4194304,16777216,1,,,,,,,,50,0.015318,0.013824,2190.557,,PASS
copy,contiguous,4194304,16777216,1,,,,,,,,100,0.014946,0.013408,2245.105,,PASS
copy,strided,4194304,16777216,2,,,,,,,,10,0.015130,0.014720,2217.800,,PASS
copy,strided,4194304,16777216,2,,,,,,,,50,0.015096,0.013696,2222.690,,PASS
copy,strided,4194304,16777216,2,,,,,,,,100,0.015030,0.013696,2232.486,,PASS
copy,strided,4194304,16777216,4,,,,,,,,10,0.014899,0.013952,2252.096,,PASS
copy,strided,4194304,16777216,4,,,,,,,,50,0.015203,0.013760,2207.157,,PASS
copy,strided,4194304,16777216,4,,,,,,,,100,0.014923,0.013664,2248.522,,PASS
copy,strided,4194304,16777216,8,,,,,,,,10,0.014826,0.014016,2263.276,,PASS
copy,strided,4194304,16777216,8,,,,,,,,50,0.015053,0.013664,2229.116,,PASS
copy,strided,4194304,16777216,8,,,,,,,,100,0.015642,0.013984,2145.205,,PASS
copy,strided,4194304,16777216,16,,,,,,,,10,0.017878,0.017088,1876.814,,PASS
copy,strided,4194304,16777216,16,,,,,,,,50,0.018159,0.016768,1847.776,,PASS
copy,strided,4194304,16777216,16,,,,,,,,100,0.017591,0.016160,1907.438,,PASS
copy,strided,4194304,16777216,32,,,,,,,,10,0.023555,0.022496,1424.502,,PASS
copy,strided,4194304,16777216,32,,,,,,,,50,0.023953,0.022496,1400.828,,PASS
copy,strided,4194304,16777216,32,,,,,,,,100,0.023903,0.022112,1403.792,,PASS
copy,strided,4194304,16777216,64,,,,,,,,10,0.023354,0.022624,1436.799,,PASS
copy,strided,4194304,16777216,64,,,,,,,,50,0.023930,0.022560,1402.177,,PASS
copy,strided,4194304,16777216,64,,,,,,,,100,0.023514,0.022176,1427.003,,PASS
copy,contiguous,16777216,67108864,1,,,,,,,,10,0.051696,0.049760,2596.289,,PASS
copy,contiguous,16777216,67108864,1,,,,,,,,50,0.052451,0.050080,2558.906,,PASS
copy,contiguous,16777216,67108864,1,,,,,,,,100,0.051441,0.049536,2609.161,,PASS
copy,strided,16777216,67108864,2,,,,,,,,10,0.056240,0.055296,2386.517,,PASS
copy,strided,16777216,67108864,2,,,,,,,,50,0.056354,0.054720,2381.693,,PASS
copy,strided,16777216,67108864,2,,,,,,,,100,0.056057,0.054432,2394.296,,PASS
copy,strided,16777216,67108864,4,,,,,,,,10,0.048090,0.046496,2790.993,,PASS
copy,strided,16777216,67108864,4,,,,,,,,50,0.048088,0.046240,2791.104,,PASS
copy,strided,16777216,67108864,4,,,,,,,,100,0.047841,0.046464,2805.479,,PASS
copy,strided,16777216,67108864,8,,,,,,,,10,0.048026,0.046464,2794.712,,PASS
copy,strided,16777216,67108864,8,,,,,,,,50,0.048083,0.046560,2791.364,,PASS
copy,strided,16777216,67108864,8,,,,,,,,100,0.047844,0.046496,2805.349,,PASS
copy,strided,16777216,67108864,16,,,,,,,,10,0.053418,0.051648,2512.612,,PASS
copy,strided,16777216,67108864,16,,,,,,,,50,0.053160,0.051520,2524.773,,PASS
copy,strided,16777216,67108864,16,,,,,,,,100,0.052323,0.050688,2565.167,,PASS
copy,strided,16777216,67108864,32,,,,,,,,10,0.073226,0.071680,1832.934,,PASS
copy,strided,16777216,67108864,32,,,,,,,,50,0.074180,0.072512,1809.341,,PASS
copy,strided,16777216,67108864,32,,,,,,,,100,0.073221,0.071520,1833.039,,PASS
copy,strided,16777216,67108864,64,,,,,,,,10,0.071565,0.070176,1875.471,,PASS
copy,strided,16777216,67108864,64,,,,,,,,50,0.071544,0.069728,1876.008,,PASS
copy,strided,16777216,67108864,64,,,,,,,,100,0.070979,0.069408,1890.953,,PASS
copy,contiguous,67108864,268435456,1,,,,,,,,10,0.186454,0.184448,2879.368,,PASS
copy,contiguous,67108864,268435456,1,,,,,,,,50,0.186637,0.184608,2876.545,,PASS
copy,contiguous,67108864,268435456,1,,,,,,,,100,0.186470,0.184416,2879.131,,PASS
copy,strided,67108864,268435456,2,,,,,,,,10,0.219558,0.218208,2445.231,,PASS
copy,strided,67108864,268435456,2,,,,,,,,50,0.220307,0.218656,2436.920,,PASS
copy,strided,67108864,268435456,2,,,,,,,,100,0.220019,0.218560,2440.114,,PASS
copy,strided,67108864,268435456,4,,,,,,,,10,0.240688,0.239392,2230.568,,PASS
copy,strided,67108864,268435456,4,,,,,,,,50,0.241151,0.239264,2226.282,,PASS
copy,strided,67108864,268435456,4,,,,,,,,100,0.241121,0.239328,2226.565,,PASS
copy,strided,67108864,268435456,8,,,,,,,,10,0.327043,0.325056,1641.590,,PASS
copy,strided,67108864,268435456,8,,,,,,,,50,0.327661,0.325344,1638.496,,PASS
copy,strided,67108864,268435456,8,,,,,,,,100,0.326939,0.325152,1642.112,,PASS
copy,strided,67108864,268435456,16,,,,,,,,10,0.618320,0.616000,868.273,,PASS
copy,strided,67108864,268435456,16,,,,,,,,50,0.617700,0.615200,869.145,,PASS
copy,strided,67108864,268435456,16,,,,,,,,100,0.616969,0.614496,870.175,,PASS
copy,strided,67108864,268435456,32,,,,,,,,10,1.197050,1.194016,448.495,,PASS
copy,strided,67108864,268435456,32,,,,,,,,50,1.195475,1.192992,449.086,,PASS
copy,strided,67108864,268435456,32,,,,,,,,100,1.194917,1.192800,449.295,,PASS
copy,strided,67108864,268435456,64,,,,,,,,10,1.194899,1.192640,449.302,,PASS
copy,strided,67108864,268435456,64,,,,,,,,50,1.191436,1.189376,450.608,,PASS
copy,strided,67108864,268435456,64,,,,,,,,100,1.191640,1.190144,450.531,,PASS
transpose,,,4194304,,naive,1024,1024,,,,,10,0.009587,0.008352,874.980,,PASS
transpose,,,4194304,,naive,1024,1024,,,,,50,0.009945,0.008032,843.503,,PASS
transpose,,,4194304,,naive,1024,1024,,,,,100,0.009503,0.008128,882.699,,PASS
transpose,,,4194304,,tiled,1024,1024,,,,,10,0.007434,0.006880,1128.472,,PASS
transpose,,,4194304,,tiled,1024,1024,,,,,50,0.007420,0.006112,1130.516,,PASS
transpose,,,4194304,,tiled,1024,1024,,,,,100,0.006846,0.005888,1225.258,,PASS
transpose,,,8388608,,naive,2048,1024,,,,,10,0.012003,0.010624,1397.729,,PASS
transpose,,,8388608,,naive,2048,1024,,,,,50,0.012178,0.010528,1377.675,,PASS
transpose,,,8388608,,naive,2048,1024,,,,,100,0.011932,0.010240,1406.126,,PASS
transpose,,,8388608,,tiled,2048,1024,,,,,10,0.008742,0.007680,1919.063,,PASS
transpose,,,8388608,,tiled,2048,1024,,,,,50,0.008790,0.007616,1908.723,,PASS
transpose,,,8388608,,tiled,2048,1024,,,,,100,0.008694,0.007520,1929.729,,PASS
transpose,,,33554432,,naive,4096,2048,,,,,10,0.027200,0.026080,2467.238,,PASS
transpose,,,33554432,,naive,4096,2048,,,,,50,0.027776,0.026464,2416.073,,PASS
transpose,,,33554432,,naive,4096,2048,,,,,100,0.027506,0.026400,2439.768,,PASS
transpose,,,33554432,,tiled,4096,2048,,,,,10,0.015453,0.014560,4342.829,,PASS
transpose,,,33554432,,tiled,4096,2048,,,,,50,0.015454,0.014048,4342.469,,PASS
transpose,,,33554432,,tiled,4096,2048,,,,,100,0.016112,0.014048,4165.066,,PASS
matmul,,,,,,,,naive,256,256,256,10,0.041245,0.040352,,813.543,PASS
