copy_pattern,size,bytes,stride,iterations,avg_kernel_ms,min_kernel_ms,effective_gbps,correct
contiguous,1048576,4194304,1,10,0.007987,0.006208,1050.256,PASS
contiguous,1048576,4194304,1,50,0.008143,0.006208,1030.197,PASS
contiguous,1048576,4194304,1,100,0.007798,0.006208,1075.727,PASS
strided,1048576,4194304,2,10,0.008269,0.008032,1014.489,PASS
strided,1048576,4194304,2,50,0.008132,0.006432,1031.494,PASS
strided,1048576,4194304,2,100,0.007940,0.006432,1056.564,PASS
strided,1048576,4194304,4,10,0.008218,0.007584,1020.810,PASS
strided,1048576,4194304,4,50,0.007997,0.006560,1048.912,PASS
strided,1048576,4194304,4,100,0.008050,0.006592,1042.115,PASS
strided,1048576,4194304,8,10,0.007811,0.007552,1073.921,PASS
strided,1048576,4194304,8,50,0.008092,0.007552,1036.716,PASS
strided,1048576,4194304,8,100,0.008205,0.007520,1022.323,PASS
strided,1048576,4194304,16,10,0.007920,0.007552,1059.168,PASS
strided,1048576,4194304,16,50,0.008914,0.007520,941.068,PASS
strided,1048576,4194304,16,100,0.008092,0.007552,1036.634,PASS
strided,1048576,4194304,32,10,0.010038,0.009600,835.652,PASS
strided,1048576,4194304,32,50,0.010159,0.009600,825.754,PASS
strided,1048576,4194304,32,100,0.010086,0.009568,831.728,PASS
strided,1048576,4194304,64,10,0.010016,0.009728,837.521,PASS
strided,1048576,4194304,64,50,0.010231,0.009568,819.917,PASS
strided,1048576,4194304,64,100,0.010169,0.009568,824.897,PASS
contiguous,4194304,16777216,1,10,0.014307,0.013792,2345.283,PASS
contiguous,4194304,16777216,1,50,0.014620,0.012704,2295.180,PASS
contiguous,4194304,16777216,1,100,0.014469,0.012704,2318.985,PASS
strided,4194304,16777216,2,10,0.014266,0.013792,2352.122,PASS
strided,4194304,16777216,2,50,0.014518,0.013664,2311.166,PASS
strided,4194304,16777216,2,100,0.014251,0.013664,2354.552,PASS
strided,4194304,16777216,4,10,0.014051,0.013664,2388.012,PASS
strided,4194304,16777216,4,50,0.014566,0.013664,2303.651,PASS
strided,4194304,16777216,4,100,0.014246,0.013632,2355.398,PASS
strided,4194304,16777216,8,10,0.014346,0.013824,2339.005,PASS
strided,4194304,16777216,8,50,0.014528,0.013696,2309.639,PASS
