transpose_variant,rows,cols,bytes,iterations,avg_kernel_ms,min_kernel_ms,effective_gbps,correct
torch,1024,1024,4194304,10,0.028717,0.023168,292.115,PASS
torch,1024,1024,4194304,50,0.025282,0.021472,331.803,PASS
torch,1024,1024,4194304,100,0.024987,0.021056,335.721,PASS
torch,2048,1024,8388608,10,0.027629,0.025088,607.237,PASS
torch,2048,1024,8388608,50,0.026520,0.023200,632.617,PASS
torch,2048,1024,8388608,100,0.026440,0.022816,634.539,PASS
torch,4096,2048,33554432,10,0.053402,0.049536,1256.683,PASS
torch,4096,2048,33554432,50,0.050326,0.047232,1333.472,PASS
torch,4096,2048,33554432,100,0.050026,0.046688,1341.490,PASS
